第15任總統副總統選舉候選人在南投縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"13,315","133,791","152,046","299,152","3,555","302,707",13,"302,720","110,765","413,485",73.2087
　南投市,,"3,077","26,690","30,910","60,677",693,"61,370",3,"61,373","20,480","81,853",74.9759
,龍泉里,26,241,391,658,8,666,0,666,228,894,74.4966
,康壽里,55,455,572,"1,082",12,"1,094",0,"1,094",282,"1,376",79.5058
,三民里,22,276,315,613,8,621,0,621,154,775,80.1290
,仁和里,26,144,238,408,5,413,0,413,83,496,83.2661
,南投里,15,171,238,424,4,428,0,428,129,557,76.8402
,彰仁里,13,92,171,276,7,283,0,283,69,352,80.3977
,崇文里,38,283,373,694,10,704,0,704,225,929,75.7804
,三興里,171,"1,798","1,915","3,884",61,"3,945",0,"3,945","1,313","5,258",75.0285
,三和里,104,902,"1,064","2,070",21,"2,091",0,"2,091",580,"2,671",78.2853
,嘉興里,66,481,913,"1,460",26,"1,486",0,"1,486",576,"2,062",72.0660
,嘉和里,171,"1,255","1,674","3,100",34,"3,134",0,"3,134","1,143","4,277",73.2757
,平和里,208,"1,852","2,165","4,225",39,"4,264",0,"4,264","1,589","5,853",72.8515
,振興里,58,515,908,"1,481",19,"1,500",0,"1,500",512,"2,012",74.5527
,千秋里,31,272,419,722,4,726,0,726,263,989,73.4075
,軍功里,169,"1,341","1,737","3,247",38,"3,285",0,"3,285","1,154","4,439",74.0032
,東山里,18,109,150,277,6,283,0,283,90,373,75.8713
,營南里,115,799,869,"1,783",12,"1,795",0,"1,795",510,"2,305",77.8742
,營北里,251,"2,596","1,710","4,557",43,"4,600",0,"4,600","1,113","5,713",80.5181
,內興里,275,"2,425","2,200","4,900",59,"4,959",0,"4,959","1,441","6,400",77.4844
,內新里,69,404,555,"1,028",16,"1,044",0,"1,044",329,"1,373",76.0379
,光輝里,25,224,170,419,2,421,0,421,88,509,82.7112
,光榮里,36,576,163,775,10,785,0,785,261,"1,046",75.0478
,光明里,29,591,121,741,9,750,0,750,226,976,76.8443
,光華里,34,445,118,597,5,602,0,602,206,808,74.5050
,漳興里,83,753,"1,078","1,914",14,"1,928",2,"1,930",615,"2,545",75.7564
,漳和里,226,"2,167","2,662","5,055",58,"5,113",0,"5,113","1,697","6,810",75.0808
,平山里,187,"1,545","1,965","3,697",32,"3,729",0,"3,729","1,445","5,174",72.0719
,新興里,179,"1,328","1,893","3,400",38,"3,438",1,"3,439","1,412","4,851",70.8720
,永豐里,105,753,"1,161","2,019",21,"2,040",0,"2,040",700,"2,740",74.4526
,福興里,127,822,"1,206","2,155",24,"2,179",0,"2,179",804,"2,983",73.0473
,鳳山里,42,199,494,735,15,750,0,750,327,"1,077",69.6379
,永興里,20,220,282,522,10,532,0,532,221,753,70.6507
,鳳鳴里,20,108,287,415,5,420,0,420,197,617,68.0713
,福山里,63,548,733,"1,344",18,"1,362",0,"1,362",498,"1,860",73.2258
　埔里鎮,,"2,070","22,664","23,061","47,795",601,"48,396",8,"48,404","18,045","66,449",72.8318
,東門里,93,896,880,"1,869",20,"1,889",0,"1,889",676,"2,565",73.6452
,杷城里,76,851,909,"1,836",19,"1,855",1,"1,856",664,"2,520",73.6111
,枇杷里,197,"2,558","2,346","5,101",82,"5,183",2,"5,185","2,052","7,237",71.6181
,水頭里,141,"1,131","1,305","2,577",44,"2,621",0,"2,621","1,088","3,709",70.6659
,麒麟里,20,327,314,661,1,662,0,662,340,"1,002",66.0679
,珠格里,28,365,384,777,11,788,0,788,290,"1,078",73.0983
,溪南里,42,410,341,793,11,804,0,804,278,"1,082",74.3068
,西門里,80,985,"1,069","2,134",28,"2,162",0,"2,162",792,"2,954",73.1889
,南門里,23,265,320,608,5,613,0,613,179,792,77.3990
,北門里,84,790,775,"1,649",18,"1,667",0,"1,667",749,"2,416",68.9983
,北安里,74,"1,136","1,119","2,329",24,"2,353",0,"2,353",737,"3,090",76.1489
,北梅里,93,"1,072","1,098","2,263",26,"2,289",0,"2,289",770,"3,059",74.8284
,泰安里,64,779,701,"1,544",15,"1,559",0,"1,559",512,"2,071",75.2776
,大湳里,52,488,627,"1,167",12,"1,179",0,"1,179",411,"1,590",74.1509
,蜈蚣里,80,857,781,"1,718",25,"1,743",3,"1,746",738,"2,484",70.1691
,同聲里,94,737,741,"1,572",23,"1,595",2,"1,597",563,"2,160",73.8426
,清新里,107,"1,232","1,221","2,560",34,"2,594",0,"2,594",978,"3,572",72.6204
,薰化里,32,342,365,739,9,748,0,748,229,977,76.5609
,大城里,173,"1,983","1,865","4,021",55,"4,076",0,"4,076","1,511","5,587",72.9551
,籃城里,33,265,409,707,14,721,0,721,211,932,77.3605
,桃米里,39,349,314,702,6,708,0,708,304,"1,012",69.9605
,成功里,6,103,90,199,3,202,0,202,92,294,68.7075
,南村里,37,444,425,906,10,916,0,916,388,"1,304",70.2454
,愛蘭里,46,511,451,"1,008",13,"1,021",0,"1,021",374,"1,395",73.1900
,鐵山里,56,539,564,"1,159",14,"1,173",0,"1,173",477,"1,650",71.0909
,房里里,43,472,439,954,9,963,0,963,364,"1,327",72.5697
,向善里,31,217,227,475,7,482,0,482,181,663,72.6998
,一新里,22,479,252,753,6,759,0,759,220,979,77.5281
,合成里,46,428,668,"1,142",13,"1,155",0,"1,155",415,"1,570",73.5669
,廣成里,32,387,366,785,7,792,0,792,346,"1,138",69.5958
,史港里,19,244,183,446,5,451,0,451,139,590,76.4407
,福興里,21,236,406,663,7,670,0,670,278,948,70.6751
,牛眠里,86,786,"1,106","1,978",25,"2,003",0,"2,003",699,"2,702",74.1303
　草屯鎮,,"2,972","24,975","32,796","60,743",667,"61,410",1,"61,411","19,546","80,957",75.8551
,玉峰里,79,677,830,"1,586",14,"1,600",0,"1,600",452,"2,052",77.9727
,明正里,131,"1,219","1,401","2,751",33,"2,784",0,"2,784",858,"3,642",76.4415
,炎峰里,63,646,808,"1,517",13,"1,530",0,"1,530",466,"1,996",76.6533
,中正里,19,221,257,497,4,501,0,501,161,662,75.6798
,和平里,38,334,468,840,14,854,0,854,238,"1,092",78.2051
,中山里,81,712,926,"1,719",20,"1,739",0,"1,739",526,"2,265",76.7770
,敦和里,243,"1,958","2,445","4,646",38,"4,684",0,"4,684","1,591","6,275",74.6454
,山腳里,307,"2,647","2,560","5,514",69,"5,583",0,"5,583","1,599","7,182",77.7360
,新厝里,125,"1,097","1,190","2,412",28,"2,440",0,"2,440",686,"3,126",78.0550
,上林里,139,"1,061","1,172","2,372",32,"2,404",0,"2,404",689,"3,093",77.7239
,碧峰里,178,"1,252","1,788","3,218",35,"3,253",0,"3,253","1,062","4,315",75.3882
,碧洲里,94,824,888,"1,806",12,"1,818",0,"1,818",539,"2,357",77.1319
,復興里,92,821,"1,132","2,045",37,"2,082",0,"2,082",748,"2,830",73.5689
,御史里,221,"1,730","2,441","4,392",44,"4,436",0,"4,436","1,460","5,896",75.2374
,新豐里,131,"1,105","1,757","2,993",30,"3,023",0,"3,023",936,"3,959",76.3577
,新庄里,130,"1,098","1,417","2,645",27,"2,672",0,"2,672",886,"3,558",75.0984
,加老里,70,593,"1,028","1,691",21,"1,712",0,"1,712",470,"2,182",78.4601
,石川里,52,435,573,"1,060",14,"1,074",0,"1,074",377,"1,451",74.0179
,北投里,118,713,"1,329","2,160",25,"2,185",1,"2,186",650,"2,836",77.0451
,富寮里,228,"1,872","2,627","4,727",37,"4,764",0,"4,764","1,648","6,412",74.2982
,北勢里,56,518,810,"1,384",12,"1,396",0,"1,396",494,"1,890",73.8624
,中原里,64,479,973,"1,516",16,"1,532",0,"1,532",461,"1,993",76.8690
,南埔里,139,"1,102","1,793","3,034",39,"3,073",0,"3,073",961,"4,034",76.1775
,坪頂里,24,320,398,742,12,754,0,754,237,991,76.0848
,土城里,44,543,566,"1,153",19,"1,172",0,"1,172",444,"1,616",72.5248
,平林里,30,366,396,792,11,803,0,803,257,"1,060",75.7547
,雙冬里,76,632,823,"1,531",11,"1,542",0,"1,542",650,"2,192",70.3467
　竹山鎮,,"1,175","13,326","17,735","32,236",392,"32,628",1,"32,629","12,649","45,278",72.0615
,竹山里,54,666,771,"1,491",9,"1,500",0,"1,500",430,"1,930",77.7202
,中正里,16,197,232,445,5,450,0,450,159,609,73.8916
,中山里,96,"1,283","1,723","3,102",32,"3,134",0,"3,134","1,240","4,374",71.6507
,雲林里,95,"1,115","1,287","2,497",24,"2,521",0,"2,521",917,"3,438",73.3275
,竹圍里,49,692,847,"1,588",20,"1,608",0,"1,608",670,"2,278",70.5882
,桂林里,98,"1,061","1,414","2,573",33,"2,606",0,"2,606",977,"3,583",72.7323
,下坪里,40,354,442,836,13,849,0,849,319,"1,168",72.6884
,中和里,14,182,451,647,6,653,0,653,272,925,70.5946
,中崎里,34,422,489,945,13,958,0,958,382,"1,340",71.4925
,秀林里,18,189,265,472,4,476,0,476,190,666,71.4715
,大鞍里,4,139,135,278,3,281,0,281,136,417,67.3861
,延和里,147,"1,354","1,862","3,363",47,"3,410",0,"3,410","1,299","4,709",72.4145
,延祥里,101,"1,011","1,391","2,503",22,"2,525",0,"2,525",964,"3,489",72.3703
,延正里,42,461,641,"1,144",18,"1,162",0,"1,162",492,"1,654",70.2539
,延平里,84,737,"1,135","1,956",29,"1,985",0,"1,985",765,"2,750",72.1818
,延山里,18,249,327,594,11,605,0,605,231,836,72.3684
,山崇里,49,503,684,"1,236",12,"1,248",1,"1,249",537,"1,786",69.8768
,社寮里,41,357,567,965,10,975,0,975,329,"1,304",74.7699
,中央里,29,311,484,824,10,834,0,834,337,"1,171",71.2212
,富州里,23,174,234,431,7,438,0,438,161,599,73.1219
,田子里,10,177,212,399,6,405,0,405,192,597,67.8392
,??里,40,459,704,"1,203",17,"1,220",0,"1,220",414,"1,634",74.6634
,德興里,22,278,331,631,11,642,0,642,218,860,74.6512
,福興里,15,229,165,409,9,418,0,418,155,573,72.9494
,鯉魚里,14,196,267,477,5,482,0,482,281,763,63.1717
,坪頂里,7,141,163,311,2,313,0,313,112,425,73.6471
,瑞竹里,9,137,219,365,5,370,0,370,180,550,67.2727
,桶頭里,6,252,293,551,9,560,0,560,290,850,65.8824
　集集鎮,,301,"2,975","3,365","6,641",98,"6,739",0,"6,739","2,481","9,220",73.0911
,集集里,45,376,357,778,19,797,0,797,239,"1,036",76.9305
,和平里,26,289,327,642,3,645,0,645,233,878,73.4624
,林尾里,20,166,227,413,5,418,0,418,148,566,73.8516
,田寮里,45,322,459,826,12,838,0,838,310,"1,148",72.9965
,隘寮里,12,129,176,317,8,325,0,325,144,469,69.2964
,玉映里,22,140,193,355,6,361,0,361,121,482,74.8963
,吳厝里,19,316,291,626,7,633,0,633,243,876,72.2603
,八張里,45,468,488,"1,001",15,"1,016",0,"1,016",368,"1,384",73.4104
,永昌里,26,285,383,694,7,701,0,701,242,943,74.3372
,廣明里,22,290,287,599,12,611,0,611,270,881,69.3530
,富山里,19,194,177,390,4,394,0,394,163,557,70.7361
　名間鄉,,973,"8,306","14,146","23,425",290,"23,715",0,"23,715","8,601","32,316",73.3847
,南雅村,33,309,426,768,7,775,0,775,242,"1,017",76.2045
,中正村,75,953,"1,395","2,423",38,"2,461",0,"2,461",822,"3,283",74.9619
,中山村,71,617,828,"1,516",11,"1,527",0,"1,527",639,"2,166",70.4986
,濁水村,37,407,623,"1,067",16,"1,083",0,"1,083",439,"1,522",71.1564
,新民村,26,247,416,689,5,694,0,694,247,941,73.7513
,炭寮村,19,267,439,725,10,735,0,735,249,984,74.6951
,新街村,146,"1,034","1,799","2,979",30,"3,009",0,"3,009","1,059","4,068",73.9676
,東湖村,52,400,693,"1,145",14,"1,159",0,"1,159",443,"1,602",72.3471
,仁和村,24,285,284,593,5,598,0,598,275,873,68.4994
,萬丹村,31,198,422,651,11,662,0,662,254,916,72.2707
,田仔村,39,276,569,884,8,892,0,892,331,"1,223",72.9354
,大坑村,24,149,337,510,8,518,0,518,214,732,70.7650
,大庄村,51,345,894,"1,290",12,"1,302",0,"1,302",492,"1,794",72.5753
,?下村,27,220,382,629,2,631,0,631,263,894,70.5817
,赤水村,30,280,499,809,8,817,0,817,316,"1,133",72.1094
,竹圍村,24,201,451,676,10,686,0,686,226,912,75.2193
,三崙村,53,375,682,"1,110",19,"1,129",0,"1,129",368,"1,497",75.4175
,松山村,55,351,666,"1,072",15,"1,087",0,"1,087",359,"1,446",75.1729
,松柏村,32,231,565,828,10,838,0,838,303,"1,141",73.4443
,崁腳村,25,268,345,638,12,650,0,650,214,864,75.2315
,埔中村,32,231,377,640,7,647,0,647,204,851,76.0282
,新厝村,18,234,290,542,10,552,0,552,203,755,73.1126
,新光村,49,428,764,"1,241",22,"1,263",0,"1,263",439,"1,702",74.2068
　鹿谷鄉,,414,"5,179","5,499","11,092",131,"11,223",0,"11,223","4,319","15,542",72.2108
,鹿谷村,38,578,657,"1,273",10,"1,283",0,"1,283",528,"1,811",70.8448
,彰雅村,35,472,451,958,12,970,0,970,310,"1,280",75.7813
,廣興村,55,722,632,"1,409",17,"1,426",0,"1,426",484,"1,910",74.6597
,永隆村,47,473,658,"1,178",9,"1,187",0,"1,187",409,"1,596",74.3734
,鳳凰村,34,359,560,953,22,975,0,975,356,"1,331",73.2532
,內湖村,41,351,350,742,11,753,0,753,276,"1,029",73.1778
,和雅村,15,267,166,448,6,454,0,454,158,612,74.1830
,竹林村,40,536,488,"1,064",7,"1,071",0,"1,071",403,"1,474",72.6594
,竹豐村,26,358,257,641,9,650,0,650,246,896,72.5446
,初鄉村,20,485,469,974,10,984,0,984,436,"1,420",69.2958
,秀峰村,23,197,283,503,5,508,0,508,261,769,66.0598
,清水村,14,198,274,486,6,492,0,492,208,700,70.2857
,瑞田村,26,183,254,463,7,470,0,470,244,714,65.8263
　中寮鄉,,396,"3,760","4,849","9,005",104,"9,109",0,"9,109","3,541","12,650",72.0079
,廣興村,15,175,361,551,7,558,0,558,216,774,72.0930
,崁頂村,16,116,172,304,8,312,0,312,148,460,67.8261
,八仙村,21,233,281,535,6,541,0,541,210,751,72.0373
,福盛村,17,227,253,497,3,500,0,500,188,688,72.6744
,和興村,9,211,202,422,4,426,0,426,201,627,67.9426
,復興村,13,86,108,207,3,210,0,210,77,287,73.1707
,永平村,40,532,596,"1,168",14,"1,182",0,"1,182",449,"1,631",72.4709
,中寮村,18,217,208,443,9,452,0,452,179,631,71.6323
,廣福村,16,112,202,330,2,332,0,332,134,466,71.2446
,永福村,50,391,463,904,13,917,0,917,363,"1,280",71.6406
,義和村,39,295,458,792,8,800,0,800,247,"1,047",76.4088
,清水村,34,260,307,601,2,603,0,603,253,856,70.4439
,內城村,17,141,139,297,2,299,0,299,145,444,67.3423
,龍安村,20,147,300,467,7,474,0,474,192,666,71.1712
,爽文村,24,145,179,348,2,350,0,350,123,473,73.9958
,龍岩村,18,192,256,466,5,471,0,471,151,622,75.7235
,永芳村,15,134,176,325,3,328,0,328,116,444,73.8739
,永和村,14,146,188,348,6,354,0,354,149,503,70.3777
　魚池鄉,,397,"4,154","4,847","9,398",133,"9,531",0,"9,531","3,992","13,523",70.4799
,魚池村,51,610,669,"1,330",16,"1,346",0,"1,346",556,"1,902",70.7676
,東池村,39,478,544,"1,061",19,"1,080",0,"1,080",445,"1,525",70.8197
,大林村,34,272,437,743,9,752,0,752,298,"1,050",71.6190
,東光村,36,311,461,808,16,824,0,824,399,"1,223",67.3753
,共和村,12,159,186,357,4,361,0,361,117,478,75.5230
,新城村、共和村,17,162,211,390,6,396,0,396,140,536,73.8806
,新城村,39,367,502,908,18,926,0,926,396,"1,322",70.0454
,大雁村,25,176,237,438,1,439,0,439,210,649,67.6425
,五城村,13,227,258,498,10,508,0,508,202,710,71.5493
,中明村,30,314,322,666,10,676,0,676,319,995,67.9397
,水社村,30,318,237,585,3,588,0,588,223,811,72.5031
,日月村,24,315,287,626,6,632,0,632,213,845,74.7929
,頭社村,23,266,320,609,9,618,0,618,301,919,67.2470
,武登村,24,179,176,379,6,385,0,385,173,558,68.9964
　國姓鄉,,499,"5,459","5,216","11,174",139,"11,313",0,"11,313","4,637","15,950",70.9279
,國姓村,46,537,567,"1,150",15,"1,165",0,"1,165",431,"1,596",72.9950
,石門村,60,588,539,"1,187",9,"1,196",0,"1,196",473,"1,669",71.6597
,大旗村,26,188,261,475,0,475,0,475,180,655,72.5191
,長流村,45,463,423,931,9,940,0,940,391,"1,331",70.6236
,長豐村,11,264,203,478,10,488,0,488,251,739,66.0352
,長福村,15,249,223,487,6,493,0,493,201,694,71.0375
,北港村,46,585,594,"1,225",18,"1,243",0,"1,243",582,"1,825",68.1096
,福龜村,64,645,600,"1,309",9,"1,318",0,"1,318",471,"1,789",73.6724
,乾溝村,15,243,287,545,14,559,0,559,235,794,70.4030
,柑林村,51,397,336,784,10,794,0,794,314,"1,108",71.6606
,大石村,25,247,228,500,6,506,0,506,190,696,72.7011
,北山村,51,482,512,"1,045",14,"1,059",0,"1,059",420,"1,479",71.6024
,南港村,44,571,443,"1,058",19,"1,077",0,"1,077",498,"1,575",68.3810
　水里鄉,,441,"4,810","5,041","10,292",128,"10,420",0,"10,420","4,437","14,857",70.1353
,水里村,18,239,217,474,8,482,0,482,244,726,66.3912
,新城村,50,422,527,999,12,"1,011",0,"1,011",474,"1,485",68.0808
,中央村,21,214,179,414,7,421,0,421,175,596,70.6376
,城中村,29,290,255,574,9,583,0,583,230,813,71.7097
,農富村,15,169,164,348,2,350,0,350,110,460,76.0870
,車埕村,11,159,137,307,4,311,0,311,124,435,71.4943
,新興村,15,245,159,419,8,427,0,427,195,622,68.6495
,北埔村,20,336,320,676,6,682,0,682,301,983,69.3795
,南光村,57,500,564,"1,121",10,"1,131",0,"1,131",376,"1,507",75.0498
,鉅工村,27,321,330,678,5,683,0,683,251,934,73.1263
,永豐村,43,412,479,934,9,943,0,943,377,"1,320",71.4394
,民和村,19,239,299,557,11,568,0,568,289,857,66.2777
,頂崁村,45,359,369,773,4,777,0,777,407,"1,184",65.6250
,新山村,4,58,78,140,2,142,0,142,55,197,72.0812
,郡坑村,8,131,76,215,3,218,0,218,85,303,71.9472
,上安村,25,371,335,731,17,748,0,748,314,"1,062",70.4331
,興隆村,6,72,96,174,2,176,0,176,101,277,63.5379
,永興村,8,90,120,218,1,219,0,219,90,309,70.8738
,玉峰村,20,183,337,540,8,548,0,548,239,787,69.6315
　信義鄉,,320,"5,246","2,896","8,462",115,"8,577",0,"8,577","4,149","12,726",67.3975
,明德村,33,584,386,"1,003",12,"1,015",0,"1,015",441,"1,456",69.7115
,愛國村,7,181,142,330,3,333,0,333,154,487,68.3778
,自強村,32,229,230,491,5,496,0,496,234,730,67.9452
,豐丘村,20,219,162,401,7,408,0,408,206,614,66.4495
,新鄉村,12,275,116,403,5,408,0,408,165,573,71.2042
,羅娜村,39,670,189,898,9,907,0,907,396,"1,303",69.6086
,望美村,38,569,347,954,16,970,0,970,479,"1,449",66.9427
,同富村,38,422,445,905,17,922,0,922,447,"1,369",67.3484
,神木村,9,242,141,392,4,396,0,396,234,630,62.8571
,東埔村,28,406,223,657,17,674,0,674,311,985,68.4264
,人和村,24,484,204,712,6,718,0,718,422,"1,140",62.9825
,地利村,20,424,152,596,4,600,0,600,264,864,69.4444
,雙龍村,13,278,86,377,4,381,0,381,210,591,64.4670
,潭南村,7,263,73,343,6,349,0,349,186,535,65.2336
　仁愛鄉,,280,"6,247","1,685","8,212",64,"8,276",0,"8,276","3,888","12,164",68.0368
,南豐村,43,594,225,862,3,865,0,865,351,"1,216",71.1349
,大同村,33,816,316,"1,165",7,"1,172",0,"1,172",444,"1,616",72.5248
,榮興村,2,28,3,33,0,33,0,33,24,57,57.8947
,春陽村,16,496,149,661,3,664,0,664,265,929,71.4747
,精英村,19,337,102,458,7,465,0,465,198,663,70.1357
,都達村,6,329,58,393,4,397,0,397,211,608,65.2961
,合作村,19,279,81,379,2,381,0,381,199,580,65.6897
,發祥村,18,347,88,453,0,453,0,453,276,729,62.1399
,力行村,8,245,47,300,0,300,0,300,189,489,61.3497
,翠華村,7,182,61,250,6,256,0,256,235,491,52.1385
,親愛村,17,595,109,721,5,726,0,726,363,"1,089",66.6667
,萬豐村,16,291,78,385,3,388,0,388,217,605,64.1322
,法治村,19,355,106,480,6,486,0,486,266,752,64.6277
,中正村,17,458,99,574,7,581,0,581,280,861,67.4797
,互助村,26,651,125,802,10,812,0,812,280,"1,092",74.3590
,新生村,14,244,38,296,1,297,0,297,90,387,76.7442
