第15任總統副總統選舉候選人在基隆市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"11,878","99,360","114,966","226,204","2,458","228,662",6,"228,668","83,133","311,801",73.3359
　中正區,,"1,618","13,887","15,540","31,045",383,"31,428",1,"31,429","12,964","44,393",70.7949
,長潭里,14,99,234,347,6,353,0,353,95,448,78.7946
,砂子里,195,"1,564","1,755","3,514",40,"3,554",0,"3,554","1,723","5,277",67.3489
,八斗里,36,257,728,"1,021",12,"1,033",0,"1,033",380,"1,413",73.1069
,碧砂里,38,273,513,824,8,832,0,832,387,"1,219",68.2527
,新富里,187,"1,537","1,625","3,349",30,"3,379",0,"3,379","1,540","4,919",68.6928
,新豐里,214,"1,792","1,790","3,796",43,"3,839",0,"3,839","1,524","5,363",71.5831
,平寮里,40,314,480,834,18,852,0,852,364,"1,216",70.0658
,社寮里,60,447,675,"1,182",11,"1,193",0,"1,193",488,"1,681",70.9697
,和憲里,22,332,261,615,4,619,0,619,329,948,65.2954
,海濱里,46,417,308,771,6,777,0,777,349,"1,126",69.0053
,正濱里,31,302,330,663,9,672,0,672,263,935,71.8717
,中正里,51,493,617,"1,161",12,"1,173",0,"1,173",456,"1,629",72.0074
,中濱里,39,433,443,915,11,926,0,926,327,"1,253",73.9026
,建國里,82,742,529,"1,353",12,"1,365",0,"1,365",532,"1,897",71.9557
,砂灣里,73,698,573,"1,344",20,"1,364",0,"1,364",575,"1,939",70.3455
,真砂里,52,443,476,971,13,984,0,984,308,"1,292",76.1610
,正砂里,86,827,735,"1,648",25,"1,673",1,"1,674",591,"2,265",73.8631
,中砂里,45,412,460,917,10,927,0,927,636,"1,563",59.3090
,入船里,26,231,287,544,14,558,0,558,201,759,73.5178
,正船里,44,439,428,911,10,921,0,921,308,"1,229",74.9390
,中船里,53,346,411,810,15,825,0,825,312,"1,137",72.5594
,港通里,43,345,472,860,14,874,0,874,274,"1,148",76.1324
,義重里,45,331,363,739,11,750,0,750,260,"1,010",74.2574
,正義里,33,363,445,841,14,855,0,855,327,"1,182",72.3350
,信義里,38,253,332,623,12,635,0,635,235,870,72.9885
,德義里,25,197,270,492,3,495,0,495,180,675,73.3333
　七堵區,,"1,815","13,618","17,516","32,949",337,"33,286",0,"33,286","11,831","45,117",73.7771
,長興里,150,"1,163","1,324","2,637",31,"2,668",0,"2,668",957,"3,625",73.6000
,正光里,86,748,892,"1,726",17,"1,743",0,"1,743",698,"2,441",71.4052
,正明里,80,581,742,"1,403",13,"1,416",0,"1,416",439,"1,855",76.3342
,富民里,151,"1,207","1,199","2,557",40,"2,597",0,"2,597",825,"3,422",75.8913
,永平里,69,633,710,"1,412",9,"1,421",0,"1,421",422,"1,843",77.1026
,永安里,108,713,791,"1,612",9,"1,621",0,"1,621",518,"2,139",75.7831
,八德里,65,412,564,"1,041",8,"1,049",0,"1,049",421,"1,470",71.3605
,自強里,50,343,400,793,13,806,0,806,303,"1,109",72.6781
,泰安里,193,"1,225","1,587","3,005",35,"3,040",0,"3,040","1,139","4,179",72.7447
,六堵里,94,691,888,"1,673",22,"1,695",0,"1,695",543,"2,238",75.7373
,堵南里,61,520,790,"1,371",12,"1,383",0,"1,383",600,"1,983",69.7428
,長安里,78,702,913,"1,693",15,"1,708",0,"1,708",721,"2,429",70.3170
,堵北里,135,891,"1,518","2,544",25,"2,569",0,"2,569",877,"3,446",74.5502
,百福里,237,"1,602","2,440","4,279",31,"4,310",0,"4,310","1,530","5,840",73.8014
,實踐里,144,"1,034","1,484","2,662",28,"2,690",0,"2,690","1,018","3,708",72.5458
,瑪南里,24,106,173,303,3,306,0,306,97,403,75.9305
,瑪東里,8,100,126,234,5,239,0,239,90,329,72.6444
,瑪西里,10,102,141,253,3,256,0,256,84,340,75.2941
,友一里,67,711,640,"1,418",13,"1,431",0,"1,431",445,"1,876",76.2793
,友二里,5,134,194,333,5,338,0,338,104,442,76.4706
　暖暖區,,"1,306","10,660","11,537","23,503",276,"23,779",3,"23,782","8,659","32,441",73.2992
,八西里,51,408,526,985,7,992,0,992,388,"1,380",71.8841
,八中里,18,119,173,310,1,311,0,311,131,442,70.3620
,八堵里,19,188,271,478,4,482,0,482,158,640,75.3125
,八南里,19,199,295,513,8,521,0,521,212,733,71.0778
,過港里,149,"1,194","1,234","2,577",35,"2,612",0,"2,612",956,"3,568",73.2063
,暖暖里,100,811,964,"1,875",35,"1,910",0,"1,910",635,"2,545",75.0491
,暖同里,87,797,816,"1,700",24,"1,724",0,"1,724",773,"2,497",69.0429
,暖東里,13,115,155,283,4,287,3,290,116,406,70.6897
,暖西里,172,"1,421","1,731","3,324",46,"3,370",0,"3,370","1,124","4,494",74.9889
,碇內里,102,916,891,"1,909",16,"1,925",0,"1,925",647,"2,572",74.8445
,碇和里,97,"1,154",865,"2,116",18,"2,134",0,"2,134",687,"2,821",75.6469
,碇祥里,256,"1,827","1,868","3,951",38,"3,989",0,"3,989","1,645","5,634",70.8023
,碇安里,223,"1,511","1,748","3,482",40,"3,522",0,"3,522","1,187","4,709",74.7929
　仁愛區,,"1,305","10,742","13,701","25,748",273,"26,021",1,"26,022","9,448","35,470",73.3606
,林泉里,77,477,642,"1,196",15,"1,211",0,"1,211",507,"1,718",70.4889
,花崗里,33,315,425,773,9,782,0,782,239,"1,021",76.5916
,虹橋里,58,496,537,"1,091",12,"1,103",0,"1,103",402,"1,505",73.2890
,水錦里,63,561,569,"1,193",11,"1,204",0,"1,204",477,"1,681",71.6240
,智仁里,71,727,860,"1,658",15,"1,673",0,"1,673",604,"2,277",73.4739
,和明里,82,523,601,"1,206",16,"1,222",1,"1,223",404,"1,627",75.1076
,忠勇里,28,269,370,667,6,673,0,673,233,906,74.2826
,玉田里,26,284,401,711,4,715,0,715,239,954,74.9476
,仁德里,33,249,367,649,6,655,0,655,207,862,75.9861
,博愛里,56,449,594,"1,099",15,"1,114",0,"1,114",325,"1,439",77.4149
,福仁里,26,197,334,557,7,564,0,564,179,743,75.9085
,誠仁里,39,249,397,685,6,691,0,691,229,920,75.1087
,吉仁里,95,695,989,"1,779",21,"1,800",0,"1,800",770,"2,570",70.0389
,育仁里,21,166,331,518,2,520,0,520,218,738,70.4607
,英仁里,50,351,502,903,4,907,0,907,357,"1,264",71.7563
,龍門里,32,184,347,563,4,567,0,567,192,759,74.7036
,德厚里,78,528,629,"1,235",20,"1,255",0,"1,255",424,"1,679",74.7469
,曲水里,26,211,336,573,6,579,0,579,227,806,71.8362
,崇文里,40,253,339,632,7,639,0,639,193,832,76.8029
,文安里,13,241,334,588,7,595,0,595,233,828,71.8599
,兆連里,27,245,241,513,5,518,0,518,162,680,76.1765
,獅球里,42,295,355,692,7,699,0,699,268,967,72.2854
,書院里,38,292,396,726,14,740,0,740,298,"1,038",71.2909
,朝棟里,94,"1,028",834,"1,956",21,"1,977",0,"1,977",683,"2,660",74.3233
,光華里,73,717,873,"1,663",15,"1,678",0,"1,678",741,"2,419",69.3675
,明德里,25,210,267,502,6,508,0,508,182,690,73.6232
,同風里,19,163,245,427,3,430,0,430,127,557,77.1993
,文昌里,27,181,350,558,6,564,0,564,180,744,75.8065
,新店里,13,186,236,435,3,438,0,438,148,586,74.7440
　中山區,,"1,579","12,468","15,032","29,079",352,"29,431",0,"29,431","11,079","40,510",72.6512
,新建里,27,225,315,567,6,573,0,573,216,789,72.6236
,安民里,39,329,421,789,11,800,0,800,213,"1,013",78.9733
,安平里,38,222,289,549,10,559,0,559,182,741,75.4386
,中山里,34,241,405,680,18,698,0,698,242,940,74.2553
,民治里,28,271,286,585,9,594,0,594,177,771,77.0428
,中興里,37,446,434,917,15,932,0,932,298,"1,230",75.7724
,仁正里,34,244,269,547,9,556,0,556,202,758,73.3509
,健民里,39,339,434,812,8,820,0,820,316,"1,136",72.1831
,通化里,44,340,309,693,10,703,0,703,262,965,72.8497
,居仁里,62,406,405,873,17,890,0,890,397,"1,287",69.1531
,通明里,63,508,667,"1,238",13,"1,251",0,"1,251",455,"1,706",73.3294
,和平里,10,173,139,322,6,328,0,328,113,441,74.3764
,仙洞里,15,172,210,397,3,400,0,400,156,556,71.9424
,太白里,40,246,300,586,10,596,0,596,256,852,69.9531
,協和里,68,414,560,"1,042",10,"1,052",0,"1,052",470,"1,522",69.1196
,文化里,38,293,374,705,6,711,0,711,543,"1,254",56.6986
,德安里,120,"1,095","1,460","2,675",28,"2,703",0,"2,703","1,012","3,715",72.7591
,德和里,216,"1,841","1,952","4,009",39,"4,048",0,"4,048","1,156","5,204",77.7863
,中和里,197,"1,782","1,885","3,864",46,"3,910",0,"3,910","1,465","5,375",72.7442
,和慶里,271,"1,784","2,339","4,394",60,"4,454",0,"4,454","1,816","6,270",71.0367
,西康里,67,433,596,"1,096",6,"1,102",0,"1,102",476,"1,578",69.8352
,西定里,33,246,353,632,4,636,0,636,265,901,70.5882
,西華里,32,239,345,616,5,621,0,621,204,825,75.2727
,西榮里,27,179,285,491,3,494,0,494,187,681,72.5404
　安樂區,,"2,560","22,200","25,735","50,495",509,"51,004",0,"51,004","17,714","68,718",74.2222
,新西里,55,399,470,924,14,938,0,938,392,"1,330",70.5263
,西川里,38,379,389,806,7,813,0,813,358,"1,171",69.4278
,定國里,39,297,379,715,6,721,0,721,278,999,72.1722
,定邦里,35,330,378,743,14,757,0,757,220,977,77.4821
,慈仁里,29,220,400,649,8,657,0,657,228,885,74.2373
,干城里,66,577,721,"1,364",10,"1,374",0,"1,374",611,"1,985",69.2191
,永康里,60,508,763,"1,331",18,"1,349",0,"1,349",545,"1,894",71.2249
,安和里,26,219,392,637,7,644,0,644,184,828,77.7778
,樂一里,25,146,236,407,4,411,0,411,145,556,73.9209
,嘉仁里,116,830,"1,333","2,279",28,"2,307",0,"2,307",835,"3,142",73.4246
,三民里,100,851,842,"1,793",18,"1,811",0,"1,811",654,"2,465",73.4686
,壯觀里,147,"1,472","1,417","3,036",30,"3,066",0,"3,066",922,"3,988",76.8806
,四維里,199,"1,565","1,781","3,545",36,"3,581",0,"3,581","1,024","4,605",77.7633
,五福里,134,"1,112","1,270","2,516",23,"2,539",0,"2,539",824,"3,363",75.4981
,六合里,155,"1,383","1,447","2,985",24,"3,009",0,"3,009",854,"3,863",77.8928
,七賢里,88,786,939,"1,813",16,"1,829",0,"1,829",605,"2,434",75.1438
,長樂里,142,"1,205","1,169","2,516",34,"2,550",0,"2,550",647,"3,197",79.7623
,鶯歌里,74,858,953,"1,885",14,"1,899",0,"1,899",998,"2,897",65.5506
,鶯安里,188,"1,671","1,609","3,468",43,"3,511",0,"3,511","1,080","4,591",76.4757
,興寮里,159,"1,452","1,661","3,272",30,"3,302",0,"3,302","1,250","4,552",72.5395
,外寮里,124,"1,167","1,416","2,707",20,"2,727",0,"2,727","1,044","3,771",72.3150
,新崙里,136,"1,189","1,455","2,780",29,"2,809",0,"2,809","1,060","3,869",72.6027
,武崙里,189,"1,498","1,756","3,443",26,"3,469",0,"3,469","1,106","4,575",75.8251
,中崙里,53,492,651,"1,196",13,"1,209",0,"1,209",415,"1,624",74.4458
,內寮里,183,"1,594","1,908","3,685",37,"3,722",0,"3,722","1,435","5,157",72.1737
　信義區,,"1,695","15,785","15,905","33,385",328,"33,713",1,"33,714","11,438","45,152",74.6656
,仁壽里,39,339,409,787,12,799,0,799,237,"1,036",77.1236
,仁義里,45,484,419,948,10,958,0,958,233,"1,191",80.4366
,義昭里,27,421,418,866,16,882,0,882,275,"1,157",76.2316
,義幸里,70,877,780,"1,727",19,"1,746",0,"1,746",514,"2,260",77.2566
,義民里,20,240,284,544,3,547,0,547,157,704,77.6989
,義和里,51,461,382,894,3,897,0,897,568,"1,465",61.2287
,智慧里,45,235,252,532,13,545,0,545,161,706,77.1955
,智誠里,52,416,589,"1,057",16,"1,073",0,"1,073",419,"1,492",71.9169
,禮儀里,61,572,559,"1,192",11,"1,203",0,"1,203",373,"1,576",76.3325
,禮東里,59,553,494,"1,106",19,"1,125",0,"1,125",340,"1,465",76.7918
,信綠里,75,705,734,"1,514",9,"1,523",0,"1,523",504,"2,027",75.1357
,東信里,155,"1,548","1,391","3,094",30,"3,124",0,"3,124",934,"4,058",76.9837
,東光里,59,620,621,"1,300",11,"1,311",0,"1,311",425,"1,736",75.5184
,東明里,132,"1,299","1,130","2,561",20,"2,581",0,"2,581",846,"3,427",75.3137
,東安里,87,980,937,"2,004",21,"2,025",0,"2,025",687,"2,712",74.6681
,孝賢里,139,"1,263","1,161","2,563",28,"2,591",0,"2,591",752,"3,343",77.5052
,孝忠里,308,"2,364","2,580","5,252",42,"5,294",1,"5,295","1,758","7,053",75.0603
,孝德里,74,764,860,"1,698",16,"1,714",0,"1,714",711,"2,425",70.6804
,孝深里,148,"1,230","1,412","2,790",20,"2,810",0,"2,810","1,228","4,038",69.5889
,孝岡里,49,414,493,956,9,965,0,965,316,"1,281",75.3318
