第15任總統副總統選舉候選人在宜蘭縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"10,739","90,010","173,657","274,406","3,029","277,435",4,"277,439","98,169","375,608",73.8629
　宜蘭市,,"2,432","20,740","33,814","56,986",635,"57,621",0,"57,621","19,146","76,767",75.0596
,民族里,68,679,869,"1,616",17,"1,633",0,"1,633",518,"2,151",75.9182
,建軍里,48,453,682,"1,183",18,"1,201",0,"1,201",360,"1,561",76.9379
,泰山里,50,568,749,"1,367",16,"1,383",0,"1,383",555,"1,938",71.3622
,負郭里,93,776,"1,217","2,086",28,"2,114",0,"2,114",703,"2,817",75.0444
,思源里,156,"1,318","1,719","3,193",32,"3,225",0,"3,225",922,"4,147",77.7671
,七結里,81,778,979,"1,838",28,"1,866",0,"1,866",546,"2,412",77.3632
,文化里,85,824,"1,215","2,124",27,"2,151",0,"2,151",747,"2,898",74.2236
,復興里,75,903,964,"1,942",19,"1,961",0,"1,961",637,"2,598",75.4811
,民權里,39,465,546,"1,050",17,"1,067",0,"1,067",651,"1,718",62.1071
,神農里,76,790,"1,022","1,888",27,"1,915",0,"1,915",628,"2,543",75.3048
,大新里,32,198,323,553,8,561,0,561,183,744,75.4032
,新民里,53,374,698,"1,125",12,"1,137",0,"1,137",356,"1,493",76.1554
,進士里,72,608,885,"1,565",17,"1,582",0,"1,582",473,"2,055",76.9830
,南橋里,30,296,575,901,11,912,0,912,278,"1,190",76.6387
,凱旋里,35,284,617,936,9,945,0,945,306,"1,251",75.5396
,南津里,52,704,736,"1,492",21,"1,513",0,"1,513",487,"2,000",75.6500
,建業里,57,425,796,"1,278",17,"1,295",0,"1,295",390,"1,685",76.8546
,擺厘里,87,842,"1,216","2,145",20,"2,165",0,"2,165",690,"2,855",75.8319
,延平里,115,884,"1,393","2,392",24,"2,416",0,"2,416",716,"3,132",77.1392
,成功里,94,785,"1,297","2,176",26,"2,202",0,"2,202",753,"2,955",74.5178
,東村里,71,574,"1,002","1,647",17,"1,664",0,"1,664",463,"2,127",78.2323
,新東里,89,800,"1,336","2,225",17,"2,242",0,"2,242",781,"3,023",74.1647
,黎明里,55,418,855,"1,328",14,"1,342",0,"1,342",422,"1,764",76.0771
,七張里,41,284,740,"1,065",9,"1,074",0,"1,074",360,"1,434",74.8954
,孝廉里,40,251,556,847,11,858,0,858,300,"1,158",74.0933
,東門里,26,221,451,698,9,707,0,707,216,923,76.5980
,小東里,46,430,741,"1,217",8,"1,225",0,"1,225",348,"1,573",77.8767
,菜園里,35,341,570,946,11,957,0,957,339,"1,296",73.8426
,慈安里,61,422,727,"1,210",8,"1,218",0,"1,218",535,"1,753",69.4809
,中興里,100,732,"1,121","1,953",23,"1,976",0,"1,976",817,"2,793",70.7483
,新生里,69,529,"1,269","1,867",19,"1,886",0,"1,886",659,"2,545",74.1061
,茭白里,71,473,914,"1,458",18,"1,476",0,"1,476",519,"1,995",73.9850
,北津里,65,475,"1,081","1,621",13,"1,634",0,"1,634",533,"2,167",75.4038
,梅洲里,95,642,"1,518","2,255",21,"2,276",0,"2,276",753,"3,029",75.1403
,南門里,44,321,647,"1,012",13,"1,025",0,"1,025",316,"1,341",76.4355
,中山里,29,244,375,648,10,658,0,658,251,909,72.3872
,西門里,60,384,845,"1,289",12,"1,301",0,"1,301",381,"1,682",77.3484
,北門里,37,245,568,850,8,858,0,858,254,"1,112",77.1583
　羅東鎮,,"1,582","13,383","26,724","41,689",401,"42,090",0,"42,090","13,462","55,552",75.7668
,開明里,30,279,712,"1,021",9,"1,030",0,"1,030",319,"1,349",76.3529
,大新里,52,328,666,"1,046",18,"1,064",0,"1,064",386,"1,450",73.3793
,東安里,99,746,"1,698","2,543",19,"2,562",0,"2,562",825,"3,387",75.6422
,新群里,83,509,"1,344","1,936",20,"1,956",0,"1,956",618,"2,574",75.9907
,羅莊里,79,709,"1,389","2,177",17,"2,194",0,"2,194",721,"2,915",75.2659
,南昌里,83,590,"1,040","1,713",11,"1,724",0,"1,724",571,"2,295",75.1198
,南豪里,33,316,608,957,7,964,0,964,310,"1,274",75.6672
,成功里,42,360,718,"1,120",14,"1,134",0,"1,134",288,"1,422",79.7468
,仁德里,26,270,511,807,9,816,0,816,295,"1,111",73.4473
,仁和里,31,228,458,717,9,726,0,726,248,974,74.5380
,中山里,35,309,676,"1,020",11,"1,031",0,"1,031",304,"1,335",77.2285
,漢民里,115,859,"1,641","2,615",17,"2,632",0,"2,632",900,"3,532",74.5187
,維揚里,78,740,"1,364","2,182",20,"2,202",0,"2,202",657,"2,859",77.0199
,西安里,81,653,"1,322","2,056",20,"2,076",0,"2,076",671,"2,747",75.5734
,北成里,88,581,"1,340","2,009",11,"2,020",0,"2,020",661,"2,681",75.3450
,國華里,117,"1,110","1,909","3,136",36,"3,172",0,"3,172",975,"4,147",76.4890
,賢文里,97,883,"1,576","2,556",31,"2,587",0,"2,587",886,"3,473",74.4889
,公正里,60,643,"1,273","1,976",30,"2,006",0,"2,006",613,"2,619",76.5941
,集祥里,26,219,425,670,5,675,0,675,459,"1,134",59.5238
,信義里,81,656,"1,364","2,101",20,"2,121",0,"2,121",636,"2,757",76.9314
,樹林里,93,959,"1,563","2,615",25,"2,640",0,"2,640",640,"3,280",80.4878
,竹林里,62,625,"1,425","2,112",15,"2,127",0,"2,127",685,"2,812",75.6401
,仁愛里,91,811,"1,702","2,604",27,"2,631",0,"2,631",794,"3,425",76.8175
　蘇澳鎮,,952,"7,667","15,140","23,759",289,"24,048",1,"24,049","9,403","33,452",71.8881
,龍德里,89,659,"1,682","2,430",37,"2,467",0,"2,467",834,"3,301",74.7349
,頂寮里,24,170,539,733,9,742,0,742,221,963,77.0509
,永榮里,120,746,"1,755","2,621",23,"2,644",0,"2,644",934,"3,578",73.8960
,存仁里,15,163,445,623,8,631,0,631,234,865,72.9480
,港邊里,27,244,573,844,9,853,0,853,392,"1,245",68.5141
,隘丁里,81,619,"1,467","2,167",22,"2,189",0,"2,189",720,"2,909",75.2492
,新城里,41,271,610,922,10,932,0,932,333,"1,265",73.6759
,聖愛里,71,639,"1,172","1,882",17,"1,899",0,"1,899",792,"2,691",70.5686
,聖湖里,78,673,887,"1,638",19,"1,657",1,"1,658",566,"2,224",74.5054
,蘇西里,56,632,958,"1,646",22,"1,668",0,"1,668",661,"2,329",71.6187
,蘇北里,36,280,392,708,8,716,0,716,261,977,73.2856
,蘇南里,12,108,214,334,4,338,0,338,102,440,76.8182
,蘇東里,16,134,207,357,3,360,0,360,147,507,71.0059
,長安里,15,132,216,363,10,373,0,373,147,520,71.7308
,永光里,13,127,180,320,6,326,0,326,112,438,74.4292
,永春里,14,152,231,397,8,405,0,405,167,572,70.8042
,永樂里,18,102,184,304,2,306,0,306,126,432,70.8333
,南安里,28,258,388,674,10,684,0,684,233,917,74.5911
,南正里,21,191,421,633,8,641,0,641,284,925,69.2973
,南成里,37,231,442,710,6,716,0,716,364,"1,080",66.2963
,南興里,45,338,533,916,12,928,0,928,508,"1,436",64.6240
,南寧里,28,245,397,670,9,679,0,679,357,"1,036",65.5405
,南建里,33,245,547,825,8,833,0,833,350,"1,183",70.4142
,東澳里,9,93,123,225,1,226,0,226,108,334,67.6647
,南強里,12,129,321,462,8,470,0,470,232,702,66.9516
,朝陽里,13,86,256,355,10,365,0,365,218,583,62.6072
　頭城鎮,,812,"6,569","9,523","16,904",213,"17,117",0,"17,117","7,349","24,466",69.9624
,石城里,9,57,125,191,1,192,0,192,105,297,64.6465
,大里里,25,179,232,436,5,441,0,441,218,659,66.9196
,龜山里,17,196,224,437,8,445,0,445,232,677,65.7312
,大溪里,31,167,337,535,11,546,0,546,330,876,62.3288
,合興里,7,87,110,204,7,211,0,211,135,346,60.9827
,更新里,42,363,441,846,7,853,0,853,458,"1,311",65.0648
,外澳里,28,212,286,526,9,535,0,535,322,857,62.4271
,港口里,16,155,288,459,5,464,0,464,211,675,68.7407
,武營里,59,469,562,"1,090",16,"1,106",0,"1,106",416,"1,522",72.6675
,大坑里,49,322,508,879,9,888,0,888,406,"1,294",68.6244
,城東里,21,242,268,531,6,537,0,537,158,695,77.2662
,城北里,7,173,179,359,5,364,0,364,117,481,75.6757
,城西里,21,186,204,411,3,414,0,414,133,547,75.6856
,城南里,22,197,237,456,2,458,0,458,161,619,73.9903
,竹安里,64,500,837,"1,401",15,"1,416",0,"1,416",665,"2,081",68.0442
,新建里,77,542,786,"1,405",18,"1,423",0,"1,423",542,"1,965",72.4173
,拔雅里,81,493,835,"1,409",20,"1,429",0,"1,429",552,"1,981",72.1353
,福成里,34,224,386,644,6,650,0,650,263,913,71.1939
,金面里,47,502,631,"1,180",16,"1,196",0,"1,196",507,"1,703",70.2290
,金盈里,23,200,246,469,7,476,0,476,190,666,71.4715
,頂埔里,47,356,562,965,10,975,0,975,349,"1,324",73.6405
,下埔里,22,231,375,628,6,634,0,634,248,882,71.8821
,中崙里,28,273,403,704,11,715,0,715,293,"1,008",70.9325
,二城里,35,243,461,739,10,749,0,749,338,"1,087",68.9052
　礁溪鄉,,896,"6,972","14,094","21,962",264,"22,226",0,"22,226","8,026","30,252",73.4695
,白雲村,50,377,685,"1,112",12,"1,124",0,"1,124",459,"1,583",71.0044
,玉石村,63,478,802,"1,343",13,"1,356",0,"1,356",562,"1,918",70.6986
,德陽村,131,"1,182","1,505","2,818",33,"2,851",0,"2,851","1,081","3,932",72.5076
,大忠村,70,685,947,"1,702",15,"1,717",0,"1,717",772,"2,489",68.9835
,大義村,21,146,301,468,5,473,0,473,141,614,77.0358
,六結村,42,432,596,"1,070",14,"1,084",0,"1,084",310,"1,394",77.7618
,二龍村,45,242,546,833,9,842,0,842,342,"1,184",71.1149
,時潮村,49,268,709,"1,026",21,"1,047",0,"1,047",362,"1,409",74.3080
,玉田村,61,343,"1,138","1,542",19,"1,561",0,"1,561",498,"2,059",75.8135
,三民村,64,527,"1,106","1,697",22,"1,719",0,"1,719",633,"2,352",73.0867
,林美村,35,238,515,788,14,802,0,802,338,"1,140",70.3509
,白鵝村,18,181,371,570,4,574,0,574,233,807,71.1276
,玉光村,21,206,527,754,12,766,0,766,256,"1,022",74.9511
,光武村,38,236,681,955,17,972,0,972,334,"1,306",74.4257
,吳沙村,68,575,"1,260","1,903",15,"1,918",0,"1,918",558,"2,476",77.4637
,龍潭村,90,580,"1,730","2,400",26,"2,426",0,"2,426",804,"3,230",75.1084
,匏崙村,22,205,447,674,8,682,0,682,245,927,73.5707
,二結村,8,71,228,307,5,312,0,312,98,410,76.0976
　壯圍鄉,,575,"4,348","10,223","15,146",170,"15,316",0,"15,316","5,753","21,069",72.6945
,吉祥村,86,578,"1,217","1,881",17,"1,898",0,"1,898",613,"2,511",75.5874
,古結村,41,222,519,782,14,796,0,796,262,"1,058",75.2363
,美福村,48,424,851,"1,323",18,"1,341",0,"1,341",504,"1,845",72.6829
,新南村,32,187,471,690,7,697,0,697,227,924,75.4329
,東港村,13,173,459,645,5,650,0,650,298,948,68.5654
,復興村,22,296,801,"1,119",11,"1,130",0,"1,130",430,"1,560",72.4359
,過嶺村,32,271,704,"1,007",7,"1,014",0,"1,014",467,"1,481",68.4673
,永鎮村,20,135,403,558,4,562,0,562,216,778,72.2365
,忠孝村,53,474,"1,139","1,666",22,"1,688",0,"1,688",599,"2,287",73.8085
,古亭村,47,309,728,"1,084",14,"1,098",0,"1,098",420,"1,518",72.3320
,功勞村,36,254,623,913,11,924,0,924,276,"1,200",77.0000
,美城村,75,446,"1,029","1,550",17,"1,567",0,"1,567",608,"2,175",72.0460
,新社村,30,224,484,738,7,745,0,745,297,"1,042",71.4971
,大福村,40,355,795,"1,190",16,"1,206",0,"1,206",536,"1,742",69.2308
　員山鄉,,726,"5,747","13,350","19,823",261,"20,084",0,"20,084","7,418","27,502",73.0274
,員山村,155,"1,365","2,554","4,074",58,"4,132",0,"4,132","1,434","5,566",74.2364
,尚德村,55,432,"1,010","1,497",26,"1,523",0,"1,523",617,"2,140",71.1682
,惠好村,51,290,846,"1,187",18,"1,205",0,"1,205",351,"1,556",77.4422
,七賢村,43,317,679,"1,039",12,"1,051",0,"1,051",376,"1,427",73.6510
,深溝村,44,379,949,"1,372",13,"1,385",0,"1,385",479,"1,864",74.3026
,蓁巷村,39,202,607,848,5,853,0,853,330,"1,183",72.1048
,內城村,52,382,555,989,14,"1,003",0,"1,003",432,"1,435",69.8955
,中華村,12,124,290,426,6,432,0,432,193,625,69.1200
,永和村,61,371,833,"1,265",17,"1,282",0,"1,282",482,"1,764",72.6757
,頭分村,35,285,652,972,15,987,0,987,339,"1,326",74.4344
,枕山村,38,370,"1,229","1,637",21,"1,658",0,"1,658",580,"2,238",74.0840
,同樂村,42,485,"1,148","1,675",23,"1,698",0,"1,698",652,"2,350",72.2553
,湖東村,24,169,424,617,10,627,0,627,218,845,74.2012
,逸仙村,29,140,458,627,7,634,0,634,227,861,73.6353
,湖北村,18,197,473,688,7,695,0,695,287,982,70.7739
,湖西村,28,239,643,910,9,919,0,919,421,"1,340",68.5821
　冬山鄉,,"1,179","8,630","23,321","33,130",347,"33,477",3,"33,480","10,980","44,460",75.2969
,珍珠村,48,294,915,"1,257",8,"1,265",0,"1,265",312,"1,577",80.2156
,補城村,27,210,611,848,6,854,0,854,278,"1,132",75.4417
,三奇村,21,135,479,635,6,641,0,641,229,870,73.6782
,大興村,33,145,480,658,5,663,0,663,203,866,76.5589
,東城村,38,297,710,"1,045",11,"1,056",0,"1,056",308,"1,364",77.4194
,香和村,76,542,"1,513","2,131",27,"2,158",0,"2,158",699,"2,857",75.5338
,南興村,83,568,"1,480","2,131",28,"2,159",0,"2,159",739,"2,898",74.4997
,安平村,13,86,413,512,7,519,0,519,190,709,73.2017
,冬山村,28,138,330,496,4,500,0,500,168,668,74.8503
,太和村,24,319,786,"1,129",17,"1,146",0,"1,146",324,"1,470",77.9592
,八寶村,22,147,440,609,10,619,0,619,233,852,72.6526
,丸山村,29,244,758,"1,031",14,"1,045",0,"1,045",411,"1,456",71.7720
,中山村,7,79,288,374,7,381,0,381,93,474,80.3797
,順安村,135,917,"2,476","3,528",32,"3,560",0,"3,560","1,271","4,831",73.6907
,永美村,80,596,"1,587","2,263",23,"2,286",0,"2,286",708,"2,994",76.3527
,武淵村,27,219,677,923,6,929,0,929,267,"1,196",77.6756
,群英村,132,967,"2,272","3,371",34,"3,405",0,"3,405","1,120","4,525",75.2486
,清溝村,104,814,"1,847","2,765",28,"2,793",0,"2,793",847,"3,640",76.7308
,鹿埔村,56,408,"1,349","1,813",15,"1,828",1,"1,829",622,"2,451",74.5818
,得安村,24,220,473,717,16,733,0,733,341,"1,074",68.2495
,廣興村,63,482,"1,256","1,801",17,"1,818",0,"1,818",649,"2,467",73.6927
,廣安村,54,353,843,"1,250",6,"1,256",0,"1,256",376,"1,632",76.9608
,柯林村,41,325,900,"1,266",13,"1,279",0,"1,279",408,"1,687",75.8151
,大進村,14,125,438,577,7,584,2,586,184,770,75.8442
　五結鄉,,866,"6,897","17,481","25,244",226,"25,470",0,"25,470","8,849","34,319",74.2154
,三興村,50,359,"1,064","1,473",11,"1,484",0,"1,484",496,"1,980",74.9495
,二結村,43,423,845,"1,311",10,"1,321",0,"1,321",422,"1,743",75.7889
,鎮安村,70,530,"1,279","1,879",13,"1,892",0,"1,892",611,"2,503",75.5893
,上四村,46,379,781,"1,206",13,"1,219",0,"1,219",366,"1,585",76.9085
,中興村,30,256,639,925,8,933,0,933,367,"1,300",71.7692
,四結村,67,610,"1,186","1,863",15,"1,878",0,"1,878",595,"2,473",75.9402
,福興村,49,367,906,"1,322",9,"1,331",0,"1,331",419,"1,750",76.0571
,五結村,98,775,"1,759","2,632",25,"2,657",0,"2,657",958,"3,615",73.4993
,協和村,81,625,"1,626","2,332",23,"2,355",0,"2,355",820,"3,175",74.1732
,大吉村,90,759,"1,783","2,632",25,"2,657",0,"2,657",844,"3,501",75.8926
,孝威村,32,258,810,"1,100",7,"1,107",0,"1,107",410,"1,517",72.9730
,錦眾村,24,267,699,990,9,999,0,999,406,"1,405",71.1032
,利澤村,51,343,970,"1,364",18,"1,382",0,"1,382",565,"1,947",70.9810
,成興村,72,473,"1,709","2,254",24,"2,278",0,"2,278",789,"3,067",74.2745
,季新村,63,473,"1,425","1,961",16,"1,977",0,"1,977",781,"2,758",71.6824
　三星鄉,,515,"3,853","8,825","13,193",167,"13,360",0,"13,360","5,244","18,604",71.8125
,員山村,8,55,84,147,3,150,0,150,65,215,69.7674
,天山村,13,103,211,327,4,331,0,331,162,493,67.1400
,天福村,21,136,339,496,6,502,0,502,220,722,69.5291
,萬德村,17,129,244,390,3,393,0,393,208,601,65.3910
,貴林村,18,132,175,325,6,331,0,331,174,505,65.5446
,萬富村,26,144,337,507,3,510,0,510,204,714,71.4286
,雙賢村,11,94,295,400,7,407,0,407,162,569,71.5290
,人和村,14,121,174,309,5,314,0,314,127,441,71.2018
,義德村,41,281,463,785,5,790,0,790,354,"1,144",69.0559
,集慶村,28,297,489,814,17,831,0,831,311,"1,142",72.7671
,月眉村,33,191,384,608,6,614,0,614,235,849,72.3204
,拱照村,25,253,484,762,12,774,0,774,510,"1,284",60.2804
,行健村,21,173,444,638,7,645,0,645,208,853,75.6155
,大隱村,114,876,"2,054","3,044",28,"3,072",0,"3,072","1,120","4,192",73.2824
,大義村,45,222,646,913,16,929,0,929,301,"1,230",75.5285
,尚武村,20,152,384,556,7,563,0,563,192,755,74.5695
,大洲村,24,262,862,"1,148",17,"1,165",0,"1,165",340,"1,505",77.4086
,尾塹村,36,232,756,"1,024",15,"1,039",0,"1,039",351,"1,390",74.7482
　大同鄉,,128,"2,568",692,"3,388",31,"3,419",0,"3,419","1,330","4,749",71.9941
,寒溪村,17,487,109,613,10,623,0,623,235,858,72.6107
,崙埤村,21,335,70,426,2,428,0,428,159,587,72.9131
,松羅村,23,313,147,483,2,485,0,485,188,673,72.0654
,復興村,8,90,77,175,4,179,0,179,78,257,69.6498
,英士村,11,176,50,237,1,238,0,238,86,324,73.4568
,樂水村,5,224,33,262,4,266,0,266,124,390,68.2051
,太平村,4,18,15,37,0,37,0,37,27,64,57.8125
,茂安村,4,124,21,149,0,149,0,149,53,202,73.7624
,四季村,18,440,67,525,3,528,0,528,225,753,70.1195
,南山村,17,361,103,481,5,486,0,486,155,641,75.8190
　南澳鄉,,76,"2,636",470,"3,182",25,"3,207",0,"3,207","1,209","4,416",72.6223
,東岳村,7,272,57,336,1,337,0,337,90,427,78.9227
,南澳村,22,636,143,801,4,805,0,805,315,"1,120",71.8750
,碧候村,15,562,80,657,10,667,0,667,248,915,72.8962
,金岳村,0,243,28,271,1,272,0,272,128,400,68.0000
,武塔村,11,230,65,306,3,309,0,309,117,426,72.5352
,金洋村,6,267,37,310,2,312,0,312,134,446,69.9552
,澳花村,15,426,60,501,4,505,0,505,177,682,74.0469
