第15任總統副總統選舉候選人在屏東縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"14,021","179,353","317,676","511,050","4,992","516,042",17,"516,059","172,734","688,793",74.9198
　屏東市,,"3,963","48,076","72,071","124,110","1,235","125,345",4,"125,349","39,640","164,989",75.9717
,武廟里、大同里、端正里,24,219,536,779,9,788,0,788,269,"1,057",74.5506
,文明里、泰安里,15,229,264,508,3,511,0,511,157,668,76.4970
,光榮里、民權里,29,318,603,950,14,964,0,964,300,"1,264",76.2658
,大埔里、必信里,31,273,642,946,7,953,0,953,301,"1,254",75.9968
,崇智里、崇禮里,20,152,352,524,4,528,0,528,144,672,78.5714
,維新里,68,628,"1,225","1,921",23,"1,944",0,"1,944",685,"2,629",73.9445
,楠樹里、扶風里、慶春里,22,293,636,951,7,958,0,958,239,"1,197",80.0334
,安樂里、平和里,31,262,541,834,4,838,0,838,235,"1,073",78.0988
,金泉里、勝豐里,24,239,546,809,11,820,0,820,208,"1,028",79.7665
,橋南里,28,397,685,"1,110",11,"1,121",0,"1,121",393,"1,514",74.0423
,橋北里,15,230,379,624,11,635,0,635,206,841,75.5054
,大連里,256,"3,041","3,702","6,999",74,"7,073",1,"7,074","1,903","8,977",78.7902
,豐田里,111,"1,165","1,636","2,912",30,"2,942",0,"2,942",957,"3,899",75.4552
,豐榮里,57,746,"1,141","1,944",13,"1,957",0,"1,957",496,"2,453",79.7799
,豐源里,76,"1,158","1,431","2,665",34,"2,699",0,"2,699",739,"3,438",78.5049
,長春里,44,524,802,"1,370",19,"1,389",0,"1,389",433,"1,822",76.2349
,瑞光里,185,"2,089","2,930","5,204",58,"5,262",0,"5,262","1,749","7,011",75.0535
,湖南里,20,164,605,789,5,794,0,794,224,"1,018",77.9961
,湖西里,19,260,862,"1,141",14,"1,155",0,"1,155",337,"1,492",77.4129
,歸心里,25,163,623,811,4,815,0,815,268,"1,083",75.2539
,清溪里,95,"1,163","1,715","2,973",20,"2,993",0,"2,993",924,"3,917",76.4105
,大武里,178,"2,282","3,460","5,920",47,"5,967",0,"5,967","1,959","7,926",75.2839
,崇武里,89,"1,348",666,"2,103",19,"2,122",0,"2,122",688,"2,810",75.5160
,凌雲里、鵬程里,12,169,241,422,2,424,0,424,157,581,72.9776
,永順里、永昌里,16,165,205,386,5,391,0,391,125,516,75.7752
,安鎮里,39,386,"1,031","1,456",19,"1,475",0,"1,475",478,"1,953",75.5248
,永光里,17,265,485,767,5,772,0,772,242,"1,014",76.1341
,長安里,53,372,942,"1,367",12,"1,379",0,"1,379",493,"1,872",73.6645
,前進里,69,615,"1,459","2,143",16,"2,159",0,"2,159",687,"2,846",75.8609
,大洲里,21,191,692,904,11,915,0,915,244,"1,159",78.9474
,新興里,62,522,"1,291","1,875",9,"1,884",0,"1,884",518,"2,402",78.4346
,公館里,35,298,806,"1,139",14,"1,153",0,"1,153",328,"1,481",77.8528
,新生里,130,"1,453","2,427","4,010",46,"4,056",0,"4,056","1,244","5,300",76.5283
,頂宅里,15,80,288,383,3,386,0,386,116,502,76.8924
,頂柳里,20,206,583,809,13,822,0,822,258,"1,080",76.1111
,大湖里,36,352,877,"1,265",20,"1,285",0,"1,285",450,"1,735",74.0634
,龍華里,41,482,"1,132","1,655",23,"1,678",0,"1,678",536,"2,214",75.7904
,玉成里,21,234,861,"1,116",17,"1,133",0,"1,133",292,"1,425",79.5088
,擇仁里,7,187,389,583,5,588,0,588,232,820,71.7073
,建國里,22,265,366,653,3,656,0,656,227,883,74.2922
,萬年里,16,145,324,485,6,491,0,491,181,672,73.0655
,厚生里,51,607,"1,411","2,069",26,"2,095",0,"2,095",689,"2,784",75.2514
,一心里,33,380,474,887,9,896,0,896,256,"1,152",77.7778
,義勇里,32,422,412,866,8,874,0,874,210,"1,084",80.6273
,光華里,24,152,285,461,4,465,0,465,200,665,69.9248
,永安里,165,"1,858","3,181","5,204",48,"5,252",1,"5,253","1,709","6,962",75.4381
,崇蘭里,323,"4,228","4,383","8,934",90,"9,024",0,"9,024","2,670","11,694",77.1678
,潭墘里,254,"4,045","3,907","8,206",82,"8,288",0,"8,288","2,968","11,256",73.6318
,永城里,40,549,779,"1,368",20,"1,388",0,"1,388",514,"1,902",72.9758
,空翔里,41,793,416,"1,250",9,"1,259",0,"1,259",411,"1,670",75.3892
,廣興里,48,586,927,"1,561",9,"1,570",0,"1,570",488,"2,058",76.2877
,勝利里,133,"1,649","1,862","3,644",28,"3,672",0,"3,672","1,707","5,379",68.2655
,斯文里,45,527,667,"1,239",11,"1,250",1,"1,251",374,"1,625",76.9231
,華山里,109,"1,577","1,909","3,595",35,"3,630",0,"3,630","1,025","4,655",77.9807
,溝美里,45,659,900,"1,604",17,"1,621",0,"1,621",595,"2,216",73.1498
,三山里,20,289,694,"1,003",2,"1,005",0,"1,005",297,"1,302",77.1889
,海豐里,16,175,488,679,2,681,0,681,155,836,81.4593
,仁義里,17,224,556,797,7,804,0,804,273,"1,077",74.6518
,北興里,152,"1,842","2,438","4,432",49,"4,481",0,"4,481","1,384","5,865",76.4024
,北勢里,53,648,"1,040","1,741",12,"1,753",0,"1,753",517,"2,270",77.2247
,中正里,133,"1,460","1,809","3,402",39,"3,441",0,"3,441","1,029","4,470",76.9799
,興樂里,12,231,315,558,5,563,1,564,161,725,77.6552
,明正里,15,202,271,488,6,494,0,494,165,659,74.9621
,太平里,13,197,283,493,5,498,0,498,146,644,77.3292
,信和里,30,261,841,"1,132",17,"1,149",0,"1,149",363,"1,512",75.9921
,和興里,16,170,496,682,10,692,0,692,234,926,74.7300
,仁愛里,49,615,946,"1,610",15,"1,625",0,"1,625",478,"2,103",77.2706
　潮州鎮,,950,"11,543","21,193","33,686",306,"33,992",0,"33,992","11,232","45,224",75.1636
,潮州里,12,152,199,363,5,368,0,368,115,483,76.1905
,光華里,106,"1,228","2,010","3,344",30,"3,374",0,"3,374","1,235","4,609",73.2046
,同榮里,7,141,327,475,3,478,0,478,103,581,82.2719
,彭城里,13,162,491,666,3,669,0,669,189,858,77.9720
,三星里,110,"1,529","2,286","3,925",47,"3,972",0,"3,972","1,207","5,179",76.6943
,三共里,142,"1,715","2,895","4,752",45,"4,797",0,"4,797","1,491","6,288",76.2882
,三和里,47,594,885,"1,526",18,"1,544",0,"1,544",502,"2,046",75.4643
,九塊里,33,298,842,"1,173",8,"1,181",0,"1,181",432,"1,613",73.2176
,新生里,20,242,465,727,4,731,0,731,237,968,75.5165
,新榮里,16,323,592,931,10,941,0,941,280,"1,221",77.0680
,五魁里,38,324,637,999,5,"1,004",0,"1,004",346,"1,350",74.3704
,蓬萊里,40,531,"1,140","1,711",11,"1,722",0,"1,722",572,"2,294",75.0654
,八爺里,41,579,"1,047","1,667",15,"1,682",0,"1,682",597,"2,279",73.8043
,永春里,160,"1,797","3,112","5,069",46,"5,115",0,"5,115","1,734","6,849",74.6824
,富春里,23,335,488,846,4,850,0,850,302,"1,152",73.7847
,光春里,31,323,663,"1,017",5,"1,022",0,"1,022",359,"1,381",74.0043
,興美里,16,188,443,647,2,649,0,649,213,862,75.2900
,檨子里,11,94,185,290,1,291,0,291,150,441,65.9864
,泗林里,29,355,848,"1,232",16,"1,248",0,"1,248",349,"1,597",78.1465
,四春里,24,338,903,"1,265",13,"1,278",0,"1,278",408,"1,686",75.8007
,崙東里,31,295,735,"1,061",15,"1,076",0,"1,076",411,"1,487",72.3605
　東港鎮,,754,"8,169","19,788","28,711",283,"28,994",0,"28,994","9,088","38,082",76.1357
,新勝里,48,446,"1,062","1,556",14,"1,570",0,"1,570",400,"1,970",79.6954
,頂新里,10,121,239,370,2,372,0,372,102,474,78.4810
,頂中里,9,82,211,302,6,308,0,308,70,378,81.4815
,東和里,14,148,299,461,4,465,0,465,162,627,74.1627
,興台里,12,115,254,381,5,386,0,386,107,493,78.2961
,興東里,196,"2,026","4,368","6,590",65,"6,655",0,"6,655","2,063","8,718",76.3363
,興農里,15,303,685,"1,003",11,"1,014",0,"1,014",270,"1,284",78.9720
,中興里,15,162,322,499,6,505,0,505,148,653,77.3354
,朝安里,29,294,865,"1,188",5,"1,193",0,"1,193",376,"1,569",76.0357
,八德里,14,167,391,572,7,579,0,579,192,771,75.0973
,東隆里,24,230,572,826,16,842,0,842,303,"1,145",73.5371
,豐漁里,10,114,321,445,5,450,0,450,124,574,78.3972
,盛漁里,23,202,712,937,9,946,0,946,362,"1,308",72.3242
,興漁里,44,289,985,"1,318",17,"1,335",0,"1,335",432,"1,767",75.5518
,鎮海里,47,455,"1,559","2,061",20,"2,081",0,"2,081",650,"2,731",76.1992
,嘉蓮里,28,335,871,"1,234",9,"1,243",0,"1,243",415,"1,658",74.9698
,南平里,17,436,725,"1,178",11,"1,189",0,"1,189",382,"1,571",75.6843
,船頭里,98,"1,168","2,639","3,905",38,"3,943",0,"3,943","1,253","5,196",75.8853
,下?里,26,264,"1,177","1,467",15,"1,482",0,"1,482",440,"1,922",77.1072
,大潭里,36,312,753,"1,101",5,"1,106",0,"1,106",415,"1,521",72.7153
,興和里,12,159,618,789,8,797,0,797,245,"1,042",76.4875
,共和里,27,341,160,528,5,533,0,533,177,710,75.0704
　恆春鎮,,384,"6,620","9,273","16,277",136,"16,413",0,"16,413","8,487","24,900",65.9157
,城南里,18,293,305,616,5,621,0,621,285,906,68.5430
,城北里,39,636,810,"1,485",12,"1,497",0,"1,497",672,"2,169",69.0180
,城西里,22,332,413,767,8,775,0,775,334,"1,109",69.8828
,網紗里,45,809,"1,110","1,964",12,"1,976",0,"1,976",991,"2,967",66.5993
,仁壽里,18,210,302,530,4,534,0,534,330,864,61.8056
,茄湖里,3,93,229,325,0,325,0,325,184,509,63.8507
,頭溝里,6,101,194,301,3,304,0,304,165,469,64.8188
,四溝里,15,195,432,642,7,649,0,649,347,996,65.1606
,德和里,15,177,384,576,2,578,0,578,292,870,66.4368
,龍水里,14,244,400,658,8,666,0,666,386,"1,052",63.3080
,山海里,13,290,636,939,12,951,0,951,576,"1,527",62.2790
,大光里,26,621,691,"1,338",14,"1,352",0,"1,352",807,"2,159",62.6216
,水泉里,24,299,511,834,10,844,0,844,509,"1,353",62.3799
,山腳里,66,"1,154","1,447","2,667",16,"2,683",0,"2,683","1,382","4,065",66.0025
,南灣里,29,458,557,"1,044",12,"1,056",0,"1,056",551,"1,607",65.7125
,墾丁里,19,388,471,878,5,883,0,883,317,"1,200",73.5833
,鵝鑾里,12,320,381,713,6,719,0,719,359,"1,078",66.6976
　萬丹鄉,,870,"9,335","22,349","32,554",358,"32,912",0,"32,912","9,288","42,200",77.9905
,香社村,32,325,808,"1,165",13,"1,178",0,"1,178",297,"1,475",79.8644
,新庄村,49,497,"1,037","1,583",16,"1,599",0,"1,599",445,"2,044",78.2290
,新鐘村,48,516,884,"1,448",17,"1,465",0,"1,465",471,"1,936",75.6715
,水仙村,12,152,276,440,6,446,0,446,86,532,83.8346
,興全村,26,298,568,892,4,896,0,896,208,"1,104",81.1594
,興安村,11,139,465,615,7,622,0,622,189,811,76.6954
,甘棠村,12,81,190,283,4,287,0,287,91,378,75.9259
,萬惠村,28,215,418,661,7,668,0,668,162,830,80.4819
,萬全村,80,807,"1,644","2,531",23,"2,554",0,"2,554",759,"3,313",77.0903
,萬後村,19,145,342,506,5,511,0,511,185,696,73.4195
,萬安村,7,144,295,446,4,450,0,450,123,573,78.5340
,萬生村,28,383,657,"1,068",11,"1,079",0,"1,079",275,"1,354",79.6898
,寶厝村,48,580,"1,044","1,672",12,"1,684",0,"1,684",499,"2,183",77.1415
,四維村,36,448,"1,043","1,527",20,"1,547",0,"1,547",438,"1,985",77.9345
,竹林村,37,331,892,"1,260",19,"1,279",0,"1,279",375,"1,654",77.3277
,水泉村,36,387,858,"1,281",13,"1,294",0,"1,294",349,"1,643",78.7584
,田厝村,20,138,565,723,7,730,0,730,193,923,79.0899
,崙頂村,31,383,946,"1,360",15,"1,375",0,"1,375",429,"1,804",76.2195
,?北村,14,265,895,"1,174",19,"1,193",0,"1,193",355,"1,548",77.0672
,?南村,18,321,706,"1,045",6,"1,051",0,"1,051",345,"1,396",75.2865
,後村村,16,210,547,773,11,784,0,784,203,987,79.4326
,灣內村,30,201,791,"1,022",11,"1,033",0,"1,033",286,"1,319",78.3169
,上村村,13,157,441,611,9,620,0,620,130,750,82.6667
,加興村,19,213,750,982,9,991,0,991,229,"1,220",81.2295
,社口村,24,319,701,"1,044",17,"1,061",0,"1,061",353,"1,414",75.0354
,磚寮村,27,215,485,727,6,733,0,733,194,927,79.0723
,社皮村,36,392,"1,076","1,504",12,"1,516",0,"1,516",404,"1,920",78.9583
,社中村,32,269,928,"1,229",17,"1,246",0,"1,246",368,"1,614",77.1995
,社上村,28,320,892,"1,240",15,"1,255",0,"1,255",391,"1,646",76.2454
,廣安村,53,484,"1,205","1,742",23,"1,765",0,"1,765",456,"2,221",79.4687
　長治鄉,,557,"6,493","12,253","19,303",181,"19,484",1,"19,485","6,087","25,572",76.1927
,進興村,62,665,"1,208","1,935",17,"1,952",0,"1,952",657,"2,609",74.8179
,新潭村,80,"1,049","1,496","2,625",20,"2,645",0,"2,645",833,"3,478",76.0495
,潭頭村,56,469,924,"1,449",22,"1,471",0,"1,471",390,"1,861",79.0435
,香楊村,72,725,"1,111","1,908",19,"1,927",0,"1,927",554,"2,481",77.6703
,長興村,24,299,472,795,8,803,0,803,239,"1,042",77.0633
,崙上村,26,415,806,"1,247",6,"1,253",0,"1,253",344,"1,597",78.4596
,德榮村,25,235,607,867,6,873,0,873,279,"1,152",75.7813
,德和村,8,123,410,541,4,545,0,545,187,732,74.4536
,復興村,26,365,724,"1,115",11,"1,126",0,"1,126",342,"1,468",76.7030
,德成村,15,231,421,667,9,676,0,676,175,851,79.4360
,德協村,10,229,572,811,3,814,0,814,244,"1,058",76.9376
,繁榮村,18,317,673,"1,008",11,"1,019",0,"1,019",384,"1,403",72.6301
,繁昌村,43,336,925,"1,304",12,"1,316",1,"1,317",397,"1,714",76.7795
,繁隆村,27,306,476,809,8,817,0,817,294,"1,111",73.5374
,繁華村,49,427,"1,251","1,727",25,"1,752",0,"1,752",591,"2,343",74.7759
,榮華村,16,302,177,495,0,495,0,495,177,672,73.6607
　麟洛鄉,,201,"2,256","5,203","7,660",59,"7,719",0,"7,719","1,912","9,631",80.1474
,新田村,44,505,"1,134","1,683",12,"1,695",0,"1,695",389,"2,084",81.3340
,麟頂村,24,221,469,714,9,723,0,723,184,907,79.7133
,麟蹄村,25,343,830,"1,198",9,"1,207",0,"1,207",294,"1,501",80.4131
,麟趾村,53,580,"1,334","1,967",17,"1,984",0,"1,984",493,"2,477",80.0969
,田中村,29,263,642,934,7,941,0,941,233,"1,174",80.1533
,田心村,15,195,440,650,2,652,0,652,169,821,79.4153
,田道村,11,149,354,514,3,517,0,517,150,667,77.5112
　九如鄉,,360,"3,509","10,346","14,215",146,"14,361",0,"14,361","4,236","18,597",77.2221
,九清村,24,229,874,"1,127",12,"1,139",0,"1,139",302,"1,441",79.0423
,九塊村,26,236,790,"1,052",6,"1,058",0,"1,058",276,"1,334",79.3103
,九明村,35,285,947,"1,267",18,"1,285",0,"1,285",361,"1,646",78.0680
,大坵村,18,236,596,850,8,858,0,858,249,"1,107",77.5068
,玉水村,16,244,636,896,14,910,0,910,289,"1,199",75.8966
,玉泉村,47,345,771,"1,163",12,"1,175",0,"1,175",379,"1,554",75.6113
,東寧村,83,921,"2,356","3,360",32,"3,392",0,"3,392",996,"4,388",77.3017
,三塊村,35,202,903,"1,140",4,"1,144",0,"1,144",402,"1,546",73.9974
,耆老村,15,241,671,927,7,934,0,934,286,"1,220",76.5574
,後庄村,32,281,"1,051","1,364",19,"1,383",0,"1,383",349,"1,732",79.8499
,洽興村,29,289,751,"1,069",14,"1,083",0,"1,083",347,"1,430",75.7343
　里港鄉,,405,"4,596","11,581","16,582",171,"16,753",0,"16,753","4,752","21,505",77.9028
,玉田村,55,610,"1,670","2,335",25,"2,360",0,"2,360",623,"2,983",79.1150
,塔樓村,34,264,875,"1,173",18,"1,191",0,"1,191",305,"1,496",79.6123
,潮厝村,26,257,879,"1,162",15,"1,177",0,"1,177",345,"1,522",77.3325
,大平村,26,271,548,845,4,849,0,849,252,"1,101",77.1117
,永春村,18,187,437,642,10,652,0,652,162,814,80.0983
,春林村,26,250,664,940,10,950,0,950,286,"1,236",76.8608
,過江村,40,413,"1,046","1,499",13,"1,512",0,"1,512",445,"1,957",77.2611
,鐵店村,24,283,784,"1,091",11,"1,102",0,"1,102",296,"1,398",78.8269
,茄苳村,29,253,896,"1,178",10,"1,188",0,"1,188",309,"1,497",79.3587
,載興村,34,395,"1,370","1,799",22,"1,821",0,"1,821",499,"2,320",78.4914
,土庫村,35,640,784,"1,459",16,"1,475",0,"1,475",511,"1,986",74.2699
,三?村,29,429,897,"1,355",8,"1,363",0,"1,363",399,"1,762",77.3553
,中和村,22,224,453,699,6,705,0,705,230,935,75.4011
,瀰力村,7,120,278,405,3,408,0,408,90,498,81.9277
　鹽埔鄉,,413,"5,597","9,640","15,650",185,"15,835",4,"15,839","5,805","21,644",73.1612
,鹽北村,30,558,690,"1,278",13,"1,291",0,"1,291",467,"1,758",73.4357
,鹽中村,39,653,950,"1,642",19,"1,661",0,"1,661",632,"2,293",72.4379
,鹽南村,32,537,643,"1,212",16,"1,228",0,"1,228",440,"1,668",73.6211
,仕絨村,27,335,380,742,7,749,3,752,261,"1,013",73.9388
,高朗村,52,650,"1,273","1,975",19,"1,994",0,"1,994",766,"2,760",72.2464
,振興村,31,439,766,"1,236",19,"1,255",0,"1,255",538,"1,793",69.9944
,久愛村,8,263,367,638,5,643,0,643,237,880,73.0682
,新圍村,58,558,"1,592","2,208",16,"2,224",0,"2,224",834,"3,058",72.7273
,新二村,75,852,"1,541","2,468",38,"2,506",0,"2,506",909,"3,415",73.3821
,彭厝村,11,257,456,724,12,736,0,736,212,948,77.6371
,洛陽村,34,387,712,"1,133",15,"1,148",1,"1,149",373,"1,522",75.4271
,永隆村,16,108,270,394,6,400,0,400,136,536,74.6269
　高樹鄉,,332,"3,972","10,785","15,089",185,"15,274",0,"15,274","5,678","20,952",72.9000
