第15任總統副總統選舉候選人在彰化縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"35,060","291,835","436,336","763,231","10,277","773,508",13,"773,521","261,986","1,035,507",74.6985
　彰化市,,"7,159","56,291","79,169","142,619","1,787","144,406",6,"144,412","41,260","185,672",77.7748
,桃源里,91,761,964,"1,816",17,"1,833",0,"1,833",603,"2,436",75.2463
,東興里,50,464,630,"1,144",14,"1,158",0,"1,158",362,"1,520",76.1842
,華北里,54,419,602,"1,075",13,"1,088",0,"1,088",328,"1,416",76.8362
,華陽里,44,636,621,"1,301",15,"1,316",0,"1,316",450,"1,766",74.5187
,大同里,30,313,417,760,9,769,0,769,237,"1,006",76.4414
,永生里,57,377,520,954,11,965,0,965,257,"1,222",78.9689
,建寶里,69,827,796,"1,692",26,"1,718",0,"1,718",506,"2,224",77.2482
,光南里,55,412,618,"1,085",11,"1,096",0,"1,096",285,"1,381",79.3628
,介壽里,75,799,731,"1,605",30,"1,635",0,"1,635",907,"2,542",64.3194
,延平里,335,"2,594","3,598","6,527",85,"6,612",1,"6,613","1,839","8,452",78.2300
,延和里,181,"1,430","2,042","3,653",52,"3,705",0,"3,705","1,083","4,788",77.3810
,南興里,277,"2,072","3,228","5,577",72,"5,649",0,"5,649","1,534","7,183",78.6440
,南?里,258,"2,226","3,197","5,681",69,"5,750",0,"5,750","1,567","7,317",78.5841
,成功里,59,426,634,"1,119",15,"1,134",0,"1,134",311,"1,445",78.4775
,福安里,39,305,409,753,15,768,0,768,213,981,78.2875
,西安里,112,771,"1,179","2,062",26,"2,088",0,"2,088",719,"2,807",74.3855
,彰安里,101,808,"1,245","2,154",20,"2,174",0,"2,174",662,"2,836",76.6573
,中央里,15,217,361,593,6,599,0,599,160,759,78.9196
,富貴里,28,258,391,677,6,683,0,683,168,851,80.2585
,民權里,29,309,475,813,7,820,0,820,257,"1,077",76.1374
,萬壽里,16,193,445,654,5,659,0,659,205,864,76.2731
,長樂里,25,254,475,754,6,760,0,760,183,943,80.5938
,西興里,176,952,"1,410","2,538",32,"2,570",0,"2,570",685,"3,255",78.9555
,西勢里,134,"1,161","1,467","2,762",35,"2,797",0,"2,797",714,"3,511",79.6639
,忠權里,117,959,"1,246","2,322",25,"2,347",0,"2,347",702,"3,049",76.9761
,忠孝里,55,367,479,901,16,917,0,917,233,"1,150",79.7391
,五權里,153,"1,175","1,611","2,939",35,"2,974",0,"2,974","1,039","4,013",74.1091
,平和里,149,"1,222","1,772","3,143",30,"3,173",0,"3,173",896,"4,069",77.9798
,崙平里,177,"1,600","2,156","3,933",54,"3,987",0,"3,987","1,202","5,189",76.8356
,向陽里,194,"1,632","2,097","3,923",45,"3,968",0,"3,968","1,027","4,995",79.4394
,莿桐里,108,910,"1,307","2,325",32,"2,357",1,"2,358",665,"3,023",77.9689
,南美里,72,520,787,"1,379",22,"1,401",0,"1,401",389,"1,790",78.2682
,南安里,91,608,873,"1,572",16,"1,588",0,"1,588",483,"2,071",76.6779
,東芳里,143,937,"1,533","2,613",31,"2,644",0,"2,644",747,"3,391",77.9711
,磚?里,118,932,"1,410","2,460",25,"2,485",1,"2,486",725,"3,211",77.3902
,卦山里,108,803,933,"1,844",28,"1,872",0,"1,872",566,"2,438",76.7842
,光復里,22,143,347,512,7,519,0,519,129,648,80.0926
,永福里,38,230,395,663,7,670,0,670,195,865,77.4566
,光華里,19,212,324,555,5,560,0,560,142,702,79.7721
,中正里,50,418,609,"1,077",10,"1,087",1,"1,088",307,"1,395",77.9211
,中山里,24,274,274,572,11,583,0,583,160,743,78.4657
,龍山里,70,577,767,"1,414",15,"1,429",0,"1,429",414,"1,843",77.5366
,新興里,208,"1,504","2,256","3,968",54,"4,022",0,"4,022","1,045","5,067",79.3764
,新華里,67,500,702,"1,269",10,"1,279",0,"1,279",366,"1,645",77.7508
,興北里,58,463,683,"1,204",10,"1,214",1,"1,215",364,"1,579",76.8841
,信義里,19,235,355,609,6,615,0,615,162,777,79.1506
,民生里,41,406,586,"1,033",16,"1,049",0,"1,049",294,"1,343",78.1087
,文化里,46,408,506,960,8,968,0,968,282,"1,250",77.4400
,陽明里,66,513,710,"1,289",17,"1,306",0,"1,306",395,"1,701",76.7784
,萬安里,156,"1,165","1,647","2,968",34,"3,002",0,"3,002",811,"3,813",78.7307
,下?里,173,"1,567","2,020","3,760",43,"3,803",0,"3,803","1,017","4,820",78.9004
,茄苳里,37,269,395,701,10,711,0,711,185,896,79.3527
,茄南里,107,906,"1,193","2,206",32,"2,238",0,"2,238",568,"2,806",79.7577
,寶?里,66,361,498,925,15,940,0,940,242,"1,182",79.5262
,古夷里,101,644,"1,035","1,780",23,"1,803",0,"1,803",522,"2,325",77.5484
,阿夷里,338,"2,503","3,423","6,264",76,"6,340",0,"6,340","1,764","8,104",78.2330
,和調里,123,819,"1,056","1,998",20,"2,018",0,"2,018",537,"2,555",78.9824
,復興里,141,"1,238","1,712","3,091",37,"3,128",0,"3,128",875,"4,003",78.1414
,中庄里,101,645,"1,067","1,813",16,"1,829",1,"1,830",546,"2,376",76.9781
,竹中里,61,526,673,"1,260",16,"1,276",0,"1,276",359,"1,635",78.0428
,香山里,117,932,"1,449","2,498",50,"2,548",0,"2,548",675,"3,223",79.0568
,牛埔里,114,773,"1,369","2,256",34,"2,290",0,"2,290",592,"2,882",79.4587
,台鳳里,210,"1,428","1,598","3,236",49,"3,285",0,"3,285",978,"4,263",77.0584
,國聖里,91,711,"1,084","1,886",21,"1,907",0,"1,907",481,"2,388",79.8576
,福山里,248,"1,920","2,899","5,067",54,"5,121",0,"5,121","1,494","6,615",77.4150
,安溪里,80,592,767,"1,439",24,"1,463",0,"1,463",381,"1,844",79.3384
,三村里,49,305,519,873,17,890,0,890,264,"1,154",77.1231
,大竹里,134,967,"1,380","2,481",23,"2,504",0,"2,504",683,"3,187",78.5692
,田中里,38,245,410,693,10,703,0,703,183,886,79.3454
,快官里,39,310,444,793,14,807,0,807,244,"1,051",76.7840
,竹巷里,29,226,345,600,8,608,0,608,193,801,75.9051
,福田里,44,344,574,962,17,979,0,979,246,"1,225",79.9184
,石牌里,39,363,439,841,12,853,0,853,256,"1,109",76.9161
　鹿港鎮,,"2,325","17,172","30,961","50,458",731,"51,189",2,"51,191","17,395","68,586",74.6348
,大有里,40,230,543,813,10,823,0,823,269,"1,092",75.3663
,中興里,18,97,260,375,5,380,0,380,118,498,76.3052
,洛津里,38,178,409,625,9,634,0,634,198,832,76.2019
,順興里,27,240,394,661,7,668,0,668,234,902,74.0576
,埔崙里,146,"1,004","2,451","3,601",46,"3,647",0,"3,647","1,187","4,834",75.4448
,新宮里,21,173,456,650,9,659,0,659,189,848,77.7123
,玉順里,28,229,578,835,16,851,0,851,299,"1,150",74.0000
,東石里,138,874,"2,121","3,133",47,"3,180",2,"3,182","1,041","4,223",75.3019
,郭厝里,11,120,248,379,4,383,0,383,138,521,73.5125
,永安里,134,"1,030","2,002","3,166",46,"3,212",0,"3,212","1,084","4,296",74.7672
,景福里,48,313,461,822,13,835,0,835,258,"1,093",76.3952
,泰興里,35,300,565,900,9,909,0,909,233,"1,142",79.5972
,長興里,1,69,126,196,4,200,0,200,75,275,72.7273
,興化里,16,134,251,401,5,406,0,406,156,562,72.2420
,龍山里,17,156,300,473,5,478,0,478,147,625,76.4800
,菜園里,31,154,515,700,12,712,0,712,180,892,79.8206
,街尾里,57,531,"1,044","1,632",22,"1,654",0,"1,654",508,"2,162",76.5032
,詔安里,67,489,874,"1,430",30,"1,460",0,"1,460",518,"1,978",73.8119
,海埔里,119,750,"1,504","2,373",46,"2,419",0,"2,419","1,061","3,480",69.5115
,洋厝里,71,542,"1,100","1,713",26,"1,739",0,"1,739",621,"2,360",73.6864
,草中里,101,900,"1,229","2,230",26,"2,256",0,"2,256",823,"3,079",73.2705
,頭南里,87,662,781,"1,530",32,"1,562",0,"1,562",542,"2,104",74.2395
,山崙里,95,734,"1,345","2,174",31,"2,205",0,"2,205",756,"2,961",74.4681
,頂番里,153,"1,148","1,414","2,715",37,"2,752",0,"2,752",954,"3,706",74.2580
,頭崙里,82,719,987,"1,788",31,"1,819",0,"1,819",654,"2,473",73.5544
,溝墘里,147,"1,277","1,586","3,010",53,"3,063",0,"3,063",965,"4,028",76.0427
,廖厝里,154,"1,153","1,629","2,936",36,"2,972",0,"2,972","1,006","3,978",74.7109
,東崎里,182,"1,177","2,269","3,628",48,"3,676",0,"3,676","1,339","5,015",73.3001
,頂厝里,261,"1,789","3,519","5,569",66,"5,635",0,"5,635","1,842","7,477",75.3645
　和美鎮,,"2,682","20,535","30,800","54,017",725,"54,742",1,"54,743","18,378","73,121",74.8649
,竹營里,204,"1,659","2,469","4,332",68,"4,400",0,"4,400","1,497","5,897",74.6142
,和東里,152,"1,227","1,817","3,196",47,"3,243",0,"3,243",960,"4,203",77.1592
,和南里,13,131,165,309,5,314,0,314,86,400,78.5000
,和北里,73,487,724,"1,284",23,"1,307",0,"1,307",444,"1,751",74.6431
,和西里,114,934,"1,265","2,313",26,"2,339",0,"2,339",775,"3,114",75.1124
,四張里,99,721,"1,153","1,973",19,"1,992",0,"1,992",687,"2,679",74.3561
,頭前里,54,458,626,"1,138",15,"1,153",0,"1,153",461,"1,614",71.4374
,面前里,88,535,915,"1,538",18,"1,556",0,"1,556",532,"2,088",74.5211
,鎮平里,133,782,"1,203","2,118",20,"2,138",0,"2,138",647,"2,785",76.7684
,大霞里,58,444,493,995,9,"1,004",0,"1,004",411,"1,415",70.9541
,源埤里,66,501,729,"1,296",16,"1,312",0,"1,312",486,"1,798",72.9700
,南佃里,76,592,948,"1,616",23,"1,639",0,"1,639",515,"2,154",76.0910
,雅溝里,52,308,557,917,14,931,0,931,369,"1,300",71.6154
,山犁里,174,"1,472","2,134","3,780",52,"3,832",0,"3,832","1,184","5,016",76.3955
,仁愛里,109,723,"1,073","1,905",19,"1,924",0,"1,924",723,"2,647",72.6861
,嘉犁里,86,611,667,"1,364",8,"1,372",0,"1,372",485,"1,857",73.8826
,詔安里,55,558,795,"1,408",19,"1,427",0,"1,427",550,"1,977",72.1801
,鐵山里,110,746,"1,114","1,970",24,"1,994",0,"1,994",588,"2,582",77.2270
,柑井里,138,890,"1,442","2,470",39,"2,509",0,"2,509",857,"3,366",74.5395
,竹園里,31,209,437,677,12,689,0,689,174,863,79.8378
,新庄里,77,732,954,"1,763",31,"1,794",0,"1,794",558,"2,352",76.2755
,犁盛里,73,605,"1,020","1,698",28,"1,726",0,"1,726",507,"2,233",77.2951
,中寮里,45,273,439,757,11,768,0,768,319,"1,087",70.6532
,中圍里,73,742,"1,219","2,034",38,"2,072",1,"2,073",696,"2,769",74.8285
,糖友里,159,"1,293","1,730","3,182",34,"3,216",0,"3,216",924,"4,140",77.6812
,還社里,25,240,340,605,9,614,0,614,213,827,74.2443
,塗厝里,56,501,652,"1,209",22,"1,231",0,"1,231",447,"1,678",73.3611
,地潭里,28,267,296,591,11,602,0,602,238,840,71.6667
,湖內里,35,249,608,892,5,897,0,897,294,"1,191",75.3149
,嘉寶里,70,500,820,"1,390",19,"1,409",0,"1,409",557,"1,966",71.6684
,月眉里,113,751,"1,303","2,167",28,"2,195",0,"2,195",765,"2,960",74.1554
,好修里,43,394,693,"1,130",13,"1,143",0,"1,143",429,"1,572",72.7099
　線西鄉,,577,"4,159","5,188","9,924",149,"10,073",0,"10,073","3,562","13,635",73.8761
,線西村,82,697,810,"1,589",25,"1,614",0,"1,614",538,"2,152",75.0000
,頂庄村,59,426,388,873,14,887,0,887,332,"1,219",72.7646
,寓埔村,87,672,843,"1,602",23,"1,625",0,"1,625",596,"2,221",73.1652
,塭仔村,63,349,510,922,11,933,0,933,301,"1,234",75.6078
,溝內村,51,327,426,804,11,815,0,815,327,"1,142",71.3660
,下犁村,66,524,801,"1,391",13,"1,404",0,"1,404",471,"1,875",74.8800
,頂犁村,105,742,907,"1,754",33,"1,787",0,"1,787",693,"2,480",72.0565
,德興村,64,422,503,989,19,"1,008",0,"1,008",304,"1,312",76.8293
　伸港鄉,,"1,039","8,491","12,207","21,737",325,"22,062",1,"22,063","7,765","29,828",73.9641
,大同村,114,621,"1,020","1,755",31,"1,786",0,"1,786",589,"2,375",75.2000
,海尾村,55,510,759,"1,324",21,"1,345",0,"1,345",445,"1,790",75.1397
,全興村,45,595,490,"1,130",21,"1,151",0,"1,151",480,"1,631",70.5702
,溪底村,63,481,863,"1,407",21,"1,428",0,"1,428",486,"1,914",74.6082
,定興村,92,731,"1,017","1,840",40,"1,880",0,"1,880",694,"2,574",73.0381
,什股村,81,670,740,"1,491",30,"1,521",0,"1,521",658,"2,179",69.8027
,泉州村,84,607,739,"1,430",28,"1,458",0,"1,458",476,"1,934",75.3878
,泉厝村,43,346,537,926,14,940,0,940,284,"1,224",76.7974
,曾家村,48,422,700,"1,170",15,"1,185",0,"1,185",488,"1,673",70.8308
,蚵寮村,18,213,579,810,8,818,0,818,282,"1,100",74.3636
,新港村,167,"1,439","2,078","3,684",35,"3,719",0,"3,719","1,287","5,006",74.2909
,埤墘村,45,364,622,"1,031",15,"1,046",0,"1,046",319,"1,365",76.6300
,七嘉村,110,845,"1,177","2,132",25,"2,157",0,"2,157",745,"2,902",74.3280
,汴頭村,74,647,886,"1,607",21,"1,628",1,"1,629",532,"2,161",75.3355
　福興鄉,,"1,216","9,368","17,181","27,765",367,"28,132",0,"28,132","10,469","38,601",72.8789
,三汴村,46,302,674,"1,022",11,"1,033",0,"1,033",288,"1,321",78.1983
,萬豐村,27,204,378,609,10,619,0,619,184,803,77.0859
,元中村,37,312,536,885,14,899,0,899,323,"1,222",73.5679
,外中村,40,243,569,852,12,864,0,864,260,"1,124",76.8683
,外埔村,56,307,686,"1,049",14,"1,063",0,"1,063",405,"1,468",72.4114
,大崙村,41,281,557,879,15,894,0,894,314,"1,208",74.0066
,番婆村,81,596,971,"1,648",24,"1,672",0,"1,672",701,"2,373",70.4593
,橋頭村,77,640,"1,160","1,877",32,"1,909",0,"1,909",698,"2,607",73.2259
,社尾村,46,337,660,"1,043",14,"1,057",0,"1,057",359,"1,416",74.6469
,番社村,29,249,788,"1,066",13,"1,079",0,"1,079",355,"1,434",75.2441
,西勢村,60,489,835,"1,384",22,"1,406",0,"1,406",491,"1,897",74.1170
,同安村,72,547,"1,032","1,651",16,"1,667",0,"1,667",647,"2,314",72.0398
,秀厝村,79,592,"1,149","1,820",18,"1,838",0,"1,838",600,"2,438",75.3897
,福興村,129,838,"1,626","2,593",32,"2,625",0,"2,625",949,"3,574",73.4471
,福南村,78,598,"1,013","1,689",20,"1,709",0,"1,709",774,"2,483",68.8280
,鎮平村,37,320,437,794,8,802,0,802,338,"1,140",70.3509
,三和村,23,188,568,779,10,789,0,789,238,"1,027",76.8257
,二港村,32,367,509,908,10,918,0,918,339,"1,257",73.0310
,福寶村,35,336,454,825,17,842,0,842,407,"1,249",67.4139
,頂粘村,70,657,874,"1,601",23,"1,624",0,"1,624",614,"2,238",72.5648
,廈粘村,69,509,738,"1,316",9,"1,325",0,"1,325",535,"1,860",71.2366
,麥厝村,52,456,967,"1,475",23,"1,498",0,"1,498",650,"2,148",69.7393
　秀水鄉,,"1,056","8,559","14,089","23,704",304,"24,008",0,"24,008","7,399","31,407",76.4416
,秀水村,48,403,766,"1,217",12,"1,229",0,"1,229",400,"1,629",75.4451
,安溪村,55,518,944,"1,517",17,"1,534",0,"1,534",468,"2,002",76.6234
,莊雅村,77,774,"1,131","1,982",24,"2,006",0,"2,006",553,"2,559",78.3900
,陝西村,47,399,577,"1,023",11,"1,034",0,"1,034",342,"1,376",75.1453
,金興村,51,556,780,"1,387",15,"1,402",0,"1,402",413,"1,815",77.2452
,安東村,108,"1,071","1,648","2,827",30,"2,857",0,"2,857",901,"3,758",76.0245
,鶴鳴村,124,801,"1,414","2,339",29,"2,368",0,"2,368",737,"3,105",76.2641
,馬興村,82,585,"1,013","1,680",24,"1,704",0,"1,704",532,"2,236",76.2075
,義興村,46,374,557,977,15,992,0,992,392,"1,384",71.6763
,福安村,163,"1,209","1,874","3,246",55,"3,301",0,"3,301","1,036","4,337",76.1125
,埔崙村,79,522,866,"1,467",21,"1,488",0,"1,488",387,"1,875",79.3600
,曾厝村,53,459,744,"1,256",8,"1,264",0,"1,264",374,"1,638",77.1673
,金陵村,55,393,806,"1,254",16,"1,270",0,"1,270",384,"1,654",76.7836
,下崙村,68,495,969,"1,532",27,"1,559",0,"1,559",480,"2,039",76.4590
　花壇鄉,,"1,352","11,428","15,524","28,304",366,"28,670",1,"28,671","9,089","37,760",75.9269
,花壇村,109,909,"1,370","2,388",35,"2,423",0,"2,423",698,"3,121",77.6354
,金墩村,54,519,764,"1,337",17,"1,354",0,"1,354",401,"1,755",77.1510
,中庄村,77,775,895,"1,747",17,"1,764",0,"1,764",535,"2,299",76.7290
,崙雅村,52,350,627,"1,029",19,"1,048",0,"1,048",336,"1,384",75.7225
,劉厝村,37,269,537,843,16,859,0,859,197,"1,056",81.3447
,南口村,51,594,785,"1,430",24,"1,454",0,"1,454",409,"1,863",78.0462
,北口村,57,483,775,"1,315",20,"1,335",0,"1,335",430,"1,765",75.6374
,中口村,19,207,320,546,8,554,0,554,194,748,74.0642
,文德村,124,850,"1,248","2,222",30,"2,252",0,"2,252",728,"2,980",75.5705
,白沙村,161,"1,431","1,771","3,363",40,"3,403",0,"3,403","1,071","4,474",76.0617
,岩竹村,44,372,541,957,15,972,0,972,319,"1,291",75.2905
,長沙村,156,"1,482","1,945","3,583",48,"3,631",1,"3,632","1,091","4,723",76.8791
,橋頭村,142,974,"1,247","2,363",27,"2,390",0,"2,390",812,"3,202",74.6408
,灣雅村,41,306,327,674,6,680,0,680,203,883,77.0102
,灣東村,36,279,366,681,4,685,0,685,234,919,74.5375
,三春村,59,559,754,"1,372",12,"1,384",0,"1,384",475,"1,859",74.4486
,永春村,77,595,653,"1,325",12,"1,337",0,"1,337",533,"1,870",71.4973
,長春村,56,474,599,"1,129",16,"1,145",0,"1,145",423,"1,568",73.0230
　芬園鄉,,682,"5,304","8,763","14,749",208,"14,957",0,"14,957","4,781","19,738",75.7777
,舊社村,58,457,716,"1,231",19,"1,250",0,"1,250",458,"1,708",73.1850
,大埔村,61,411,579,"1,051",19,"1,070",0,"1,070",302,"1,372",77.9883
,竹林村,70,493,755,"1,318",16,"1,334",0,"1,334",373,"1,707",78.1488
,楓坑村,25,157,239,421,5,426,0,426,134,560,76.0714
,社口村,79,703,996,"1,778",26,"1,804",0,"1,804",597,"2,401",75.1354
,茄荖村,75,614,"1,025","1,714",18,"1,732",0,"1,732",557,"2,289",75.6662
,嘉興村,63,474,676,"1,213",20,"1,233",0,"1,233",363,"1,596",77.2556
,芬園村,30,230,389,649,5,654,0,654,193,847,77.2137
,縣庄村,44,255,536,835,10,845,0,845,258,"1,103",76.6092
,圳墘村,17,162,296,475,10,485,0,485,163,648,74.8457
,溪頭村,45,402,788,"1,235",22,"1,257",0,"1,257",372,"1,629",77.1639
,進芬村,32,279,379,690,10,700,0,700,244,944,74.1525
,同安村,20,271,547,838,13,851,0,851,291,"1,142",74.5184
,中崙村,27,202,360,589,7,596,0,596,242,838,71.1217
,大竹村,36,194,482,712,8,720,0,720,234,954,75.4717
　員林市,,"3,337","29,289","41,622","74,248",921,"75,169",0,"75,169","24,194","99,363",75.6509
,崙雅里,68,780,876,"1,724",19,"1,743",0,"1,743",589,"2,332",74.7427
,振興里,93,792,"1,028","1,913",25,"1,938",0,"1,938",667,"2,605",74.3954
,林厝里,103,695,"1,147","1,945",21,"1,966",0,"1,966",710,"2,676",73.4679
,出水里,49,382,722,"1,153",8,"1,161",0,"1,161",436,"1,597",72.6988
,湖水里,36,259,525,820,19,839,0,839,302,"1,141",73.5320
,大?里,15,266,235,516,5,521,0,521,163,684,76.1696
,鎮興里,47,521,837,"1,405",26,"1,431",0,"1,431",512,"1,943",73.6490
,浮圳里,74,609,893,"1,576",27,"1,603",0,"1,603",526,"2,129",75.2936
,西東里,64,430,859,"1,353",23,"1,376",0,"1,376",531,"1,907",72.1552
,南東里,49,470,733,"1,252",22,"1,274",0,"1,274",443,"1,717",74.1992
,中東里,63,497,673,"1,233",17,"1,250",0,"1,250",464,"1,714",72.9288
,東北里,62,609,941,"1,612",20,"1,632",0,"1,632",607,"2,239",72.8897
,東和里,32,342,410,784,10,794,0,794,245,"1,039",76.4196
,民生里,91,809,"1,074","1,974",24,"1,998",0,"1,998",690,"2,688",74.3304
,黎明里,63,492,751,"1,306",15,"1,321",0,"1,321",487,"1,808",73.0642
,惠來里,176,"1,586","2,403","4,165",51,"4,216",0,"4,216","1,294","5,510",76.5154
,中央里,56,536,822,"1,414",13,"1,427",0,"1,427",448,"1,875",76.1067
,溝皂里,98,698,"1,018","1,814",14,"1,828",0,"1,828",493,"2,321",78.7592
,大饒里,103,973,"1,269","2,345",25,"2,370",0,"2,370",782,"3,152",75.1904
,大明里,71,622,"1,058","1,751",14,"1,765",0,"1,765",591,"2,356",74.9151
,萬年里,116,"1,130","1,436","2,682",34,"2,716",0,"2,716",818,"3,534",76.8534
,中正里,114,969,"1,206","2,289",29,"2,318",0,"2,318",756,"3,074",75.4066
,仁美里,68,793,"1,026","1,887",21,"1,908",0,"1,908",585,"2,493",76.5343
,新興里,20,205,313,538,8,546,0,546,155,701,77.8887
,和平里,87,862,"1,102","2,051",21,"2,072",0,"2,072",667,"2,739",75.6480
,光明里,28,252,355,635,3,638,0,638,144,782,81.5857
,中山里,18,197,242,457,5,462,0,462,110,572,80.7692
,三條里,94,756,"1,116","1,966",28,"1,994",0,"1,994",624,"2,618",76.1650
,忠孝里,76,639,880,"1,595",18,"1,613",0,"1,613",514,"2,127",75.8345
,仁愛里,55,402,583,"1,040",13,"1,053",0,"1,053",264,"1,317",79.9544
,三和里,190,"1,736","2,394","4,320",58,"4,378",0,"4,378","1,625","6,003",72.9302
,三橋里,123,821,"1,174","2,118",27,"2,145",0,"2,145",650,"2,795",76.7442
,三愛里,86,872,"1,207","2,165",17,"2,182",0,"2,182",624,"2,806",77.7619
,三信里,66,761,902,"1,729",22,"1,751",0,"1,751",474,"2,225",78.6966
,三多里,100,725,"1,067","1,892",20,"1,912",0,"1,912",488,"2,400",79.6667
,三義里,87,730,999,"1,816",30,"1,846",0,"1,846",631,"2,477",74.5256
,新生里,141,"1,188","1,735","3,064",43,"3,107",0,"3,107",918,"4,025",77.1925
,南平里,159,"1,507","2,208","3,874",39,"3,913",0,"3,913","1,123","5,036",77.7006
,南興里,153,"1,384","1,770","3,307",46,"3,353",0,"3,353","1,101","4,454",75.2806
,源潭里,65,413,749,"1,227",17,"1,244",0,"1,244",407,"1,651",75.3483
,大埔里,78,579,884,"1,541",24,"1,565",0,"1,565",536,"2,101",74.4883
　溪湖鎮,,"1,434","12,795","17,790","32,019",419,"32,438",0,"32,438","11,260","43,698",74.2322
,光平里,41,361,493,895,7,902,0,902,280,"1,182",76.3113
,平和里,18,208,274,500,8,508,0,508,97,605,83.9669
,太平里,63,579,666,"1,308",13,"1,321",0,"1,321",430,"1,751",75.4426
,光華里,19,150,154,323,7,330,0,330,83,413,79.9031
,湖東里,134,"1,268","1,914","3,316",49,"3,365",0,"3,365","1,162","4,527",74.3318
,中山里,74,653,892,"1,619",14,"1,633",0,"1,633",610,"2,243",72.8043
,西溪里,69,506,730,"1,305",11,"1,316",0,"1,316",462,"1,778",74.0157
,中竹里,25,218,380,623,6,629,0,629,188,817,76.9890
,東寮里,118,986,"1,206","2,310",26,"2,336",0,"2,336",882,"3,218",72.5917
,西寮里,65,663,834,"1,562",26,"1,588",0,"1,588",522,"2,110",75.2607
