第15任總統副總統選舉候選人在臺中市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"84,800","646,366","967,304","1,698,470","20,550","1,719,020",33,"1,719,053","532,011","2,251,064",76.3648
　中區,,442,"3,823","5,793","10,058",106,"10,164",0,"10,164","4,066","14,230",71.4266
,綠川里,47,405,719,"1,171",5,"1,176",0,"1,176",427,"1,603",73.3624
,繼光里,44,362,646,"1,052",8,"1,060",0,"1,060",400,"1,460",72.6027
,公園里,36,348,567,951,5,956,0,956,405,"1,361",70.2425
,光復里,64,568,780,"1,412",16,"1,428",0,"1,428",546,"1,974",72.3404
,大墩里,74,493,800,"1,367",17,"1,384",0,"1,384",552,"1,936",71.4876
,柳川里,49,530,659,"1,238",10,"1,248",0,"1,248",556,"1,804",69.1796
,大誠里,74,632,910,"1,616",27,"1,643",0,"1,643",642,"2,285",71.9037
,中華里,54,485,712,"1,251",18,"1,269",0,"1,269",538,"1,807",70.2269
　東區,,"2,251","17,435","28,114","47,800",582,"48,382",4,"48,386","14,444","62,830",77.0046
,新庄里,87,675,"1,141","1,903",23,"1,926",0,"1,926",981,"2,907",66.2539
,振興里,103,732,"1,485","2,320",28,"2,348",0,"2,348",713,"3,061",76.7070
,東橋里,153,814,"1,891","2,858",35,"2,893",0,"2,893",781,"3,674",78.7425
,東興里,99,681,"1,329","2,109",30,"2,139",0,"2,139",604,"2,743",77.9803
,泉源里,66,454,890,"1,410",24,"1,434",0,"1,434",429,"1,863",76.9726
,干城里,55,518,829,"1,402",25,"1,427",0,"1,427",416,"1,843",77.4281
,旱溪里,93,654,"1,132","1,879",22,"1,901",0,"1,901",492,"2,393",79.4400
,樂成里,57,513,"1,040","1,610",18,"1,628",1,"1,629",533,"2,162",75.3006
,東門里,223,"1,491","3,432","5,146",49,"5,195",0,"5,195","1,269","6,464",80.3682
,十甲里,181,"1,157","2,169","3,507",40,"3,547",0,"3,547","1,032","4,579",77.4623
,東英里,239,"1,867","3,241","5,347",64,"5,411",2,"5,413","1,464","6,877",78.6826
,東南里,134,"1,048","1,537","2,719",32,"2,751",0,"2,751",844,"3,595",76.5229
,東勢里,91,774,"1,017","1,882",25,"1,907",1,"1,908",645,"2,553",74.6964
,合作里,178,"1,511","1,288","2,977",27,"3,004",0,"3,004",927,"3,931",76.4182
,富仁里,125,"1,747","1,065","2,937",44,"2,981",0,"2,981","1,022","4,003",74.4691
,富台里,57,694,461,"1,212",19,"1,231",0,"1,231",439,"1,670",73.7126
,東信里,310,"2,105","4,167","6,582",77,"6,659",0,"6,659","1,853","8,512",78.2307
　南區,,"4,025","29,485","44,098","77,608",887,"78,495",0,"78,495","23,184","101,679",77.1988
,長春里,70,513,831,"1,414",19,"1,433",0,"1,433",426,"1,859",77.0845
,長榮里,93,688,"1,066","1,847",16,"1,863",0,"1,863",516,"2,379",78.3102
,城隍里,117,985,"1,544","2,646",37,"2,683",0,"2,683",819,"3,502",76.6134
,國光里,117,"1,051","1,680","2,848",41,"2,889",0,"2,889",859,"3,748",77.0811
,南門里,130,"1,022","1,535","2,687",18,"2,705",0,"2,705",673,"3,378",80.0770
,德義里,100,818,"1,196","2,114",23,"2,137",0,"2,137",639,"2,776",76.9813
,積善里,95,666,"1,158","1,919",23,"1,942",0,"1,942",534,"2,476",78.4330
,江川里,76,801,"1,203","2,080",20,"2,100",0,"2,100",588,"2,688",78.1250
,新榮里,188,"1,295","1,644","3,127",40,"3,167",0,"3,167","1,050","4,217",75.1008
,福興里,127,"1,115","1,670","2,912",33,"2,945",0,"2,945",785,"3,730",78.9544
,福平里,210,"1,478","2,261","3,949",50,"3,999",0,"3,999","1,157","5,156",77.5601
,福順里,221,"1,532","2,319","4,072",50,"4,122",0,"4,122","1,168","5,290",77.9206
,和平里,139,994,"1,597","2,730",30,"2,760",0,"2,760",973,"3,733",73.9352
,平和里,124,927,"1,559","2,610",29,"2,639",0,"2,639",744,"3,383",78.0077
,南和里,243,"2,001","2,742","4,986",50,"5,036",0,"5,036","2,063","7,099",70.9396
,永興里,306,"2,229","3,229","5,764",61,"5,825",0,"5,825","1,642","7,467",78.0099
,永和里,149,"1,253","1,833","3,235",34,"3,269",0,"3,269","1,007","4,276",76.4500
,樹義里,480,"3,119","4,819","8,418",92,"8,510",0,"8,510","2,457","10,967",77.5964
,工學里,262,"1,902","2,670","4,834",64,"4,898",0,"4,898","1,434","6,332",77.3531
,樹德里,377,"2,365","3,471","6,213",85,"6,298",0,"6,298","1,623","7,921",79.5102
,西川里,174,"1,229","1,744","3,147",29,"3,176",0,"3,176",916,"4,092",77.6149
,崇倫里,227,"1,502","2,327","4,056",43,"4,099",0,"4,099","1,111","5,210",78.6756
　西區,,"3,366","26,998","39,708","70,072",807,"70,879",0,"70,879","21,849","92,728",76.4375
,三民里,54,525,655,"1,234",15,"1,249",0,"1,249",908,"2,157",57.9045
,利民里,52,445,513,"1,010",10,"1,020",0,"1,020",334,"1,354",75.3323
,民生里,67,537,709,"1,313",12,"1,325",0,"1,325",391,"1,716",77.2145
,廣民里,43,394,590,"1,027",14,"1,041",0,"1,041",362,"1,403",74.1981
,平和里,67,582,727,"1,376",20,"1,396",0,"1,396",457,"1,853",75.3373
,東昇里,70,694,958,"1,722",28,"1,750",0,"1,750",492,"2,242",78.0553
,公民里,167,"1,359","2,035","3,561",34,"3,595",0,"3,595","1,074","4,669",76.9972
,藍興里,152,"1,093","1,701","2,946",37,"2,983",0,"2,983",823,"3,806",78.3762
,公?里,193,"1,595","2,412","4,200",47,"4,247",0,"4,247","1,307","5,554",76.4674
,安龍里,91,806,"1,217","2,114",25,"2,139",0,"2,139",640,"2,779",76.9701
,吉龍里,250,"1,873","2,567","4,690",61,"4,751",0,"4,751","1,556","6,307",75.3290
,土庫里,171,"1,570","2,433","4,174",50,"4,224",0,"4,224","1,251","5,475",77.1507
,大忠里,178,"1,305","1,879","3,362",33,"3,395",0,"3,395",850,"4,245",79.9764
,民龍里,115,"1,010","1,227","2,352",23,"2,375",0,"2,375",814,"3,189",74.4748
,和龍里,61,581,"1,003","1,645",22,"1,667",0,"1,667",611,"2,278",73.1782
,後龍里,95,972,"1,486","2,553",23,"2,576",0,"2,576",861,"3,437",74.9491
,?龍里,97,843,"1,067","2,007",26,"2,033",0,"2,033",615,"2,648",76.7749
,昇平里,214,"1,571","2,368","4,153",55,"4,208",0,"4,208","1,268","5,476",76.8444
,中興里,120,919,"1,639","2,678",28,"2,706",0,"2,706",777,"3,483",77.6916
,公益里,102,714,"1,328","2,144",22,"2,166",0,"2,166",547,"2,713",79.8378
,公德里,166,"1,199","1,770","3,135",29,"3,164",0,"3,164",940,"4,104",77.0955
,公正里,232,"1,769","2,742","4,743",45,"4,788",0,"4,788","1,190","5,978",80.0937
,公平里,173,"1,462","1,925","3,560",49,"3,609",0,"3,609","1,131","4,740",76.1392
,忠明里,210,"1,571","2,348","4,129",47,"4,176",0,"4,176","1,394","5,570",74.9731
,忠誠里,226,"1,609","2,409","4,244",52,"4,296",0,"4,296","1,256","5,552",77.3775
　北區,,"4,341","37,248","49,011","90,600","1,033","91,633",1,"91,634","30,469","122,103",75.0457
,中正里,41,342,624,"1,007",15,"1,022",0,"1,022",376,"1,398",73.1044
,六合里,67,359,723,"1,149",29,"1,178",0,"1,178",488,"1,666",70.7083
,光大里,67,534,823,"1,424",27,"1,451",0,"1,451",564,"2,015",72.0099
,文莊里,112,"1,303","1,107","2,522",26,"2,548",0,"2,548",743,"3,291",77.4233
,大湖里,70,499,937,"1,506",19,"1,525",0,"1,525",617,"2,142",71.1951
,五常里,54,324,603,981,7,988,0,988,361,"1,349",73.2394
,錦平里,47,479,727,"1,253",20,"1,273",0,"1,273",502,"1,775",71.7183
,新北里,72,488,658,"1,218",18,"1,236",0,"1,236",418,"1,654",74.7279
,新興里,56,482,536,"1,074",10,"1,084",0,"1,084",420,"1,504",72.0745
,樂英里,78,"1,261",551,"1,890",29,"1,919",0,"1,919",632,"2,551",75.2254
,錦村里,133,"1,032","1,203","2,368",25,"2,393",0,"2,393",677,"3,070",77.9479
,建成里,194,"1,589","2,234","4,017",45,"4,062",0,"4,062","1,376","5,438",74.6966
,建德里,112,"1,047","1,345","2,504",28,"2,532",0,"2,532",712,"3,244",78.0518
,錦洲里,122,"1,081","1,222","2,425",33,"2,458",0,"2,458",764,"3,222",76.2880
,錦祥里,143,"1,324","1,512","2,979",44,"3,023",0,"3,023","1,002","4,025",75.1056
,金華里,83,786,968,"1,837",17,"1,854",0,"1,854",558,"2,412",76.8657
,金龍里,154,"1,278","1,602","3,034",28,"3,062",0,"3,062","1,169","4,231",72.3706
,邱厝里,68,664,931,"1,663",16,"1,679",0,"1,679",542,"2,221",75.5966
,建興里,219,"1,614","2,339","4,172",42,"4,214",0,"4,214","1,277","5,491",76.7438
,頂厝里,155,"1,281","1,649","3,085",28,"3,113",0,"3,113",884,"3,997",77.8834
,崇德里,103,"1,009","1,421","2,533",29,"2,562",0,"2,562",853,"3,415",75.0220
,賴厝里,134,"1,340","1,501","2,975",31,"3,006",0,"3,006","1,957","4,963",60.5682
,賴福里,114,"1,203","1,578","2,895",39,"2,934",0,"2,934",767,"3,701",79.2759
,賴興里,144,"1,182","1,443","2,769",22,"2,791",0,"2,791",859,"3,650",76.4658
,賴旺里,163,"1,245","1,566","2,974",27,"3,001",0,"3,001","1,164","4,165",72.0528
,賴明里,129,"1,182","1,421","2,732",30,"2,762",0,"2,762",938,"3,700",74.6486
,梅川里,116,923,"1,346","2,385",20,"2,405",0,"2,405",673,"3,078",78.1352
,賴村里,137,"1,192","1,907","3,236",35,"3,271",0,"3,271","1,056","4,327",75.5951
,育德里,135,"1,086","1,472","2,693",30,"2,723",0,"2,723",805,"3,528",77.1825
,淡溝里,171,"1,419","2,097","3,687",44,"3,731",0,"3,731","1,161","4,892",76.2674
,健行里,218,"1,736","2,804","4,758",38,"4,796",1,"4,797","1,424","6,221",77.0937
,明德里,202,"1,542","2,144","3,888",41,"3,929",0,"3,929","1,177","5,106",76.9487
,明新里,78,830,"1,068","1,976",27,"2,003",0,"2,003",640,"2,643",75.7851
,長青里,208,"1,705","2,485","4,398",44,"4,442",0,"4,442","1,415","5,857",75.8409
,立人里,136,"1,185","1,377","2,698",39,"2,737",0,"2,737",908,"3,645",75.0892
,中達里,106,702,"1,087","1,895",31,"1,926",0,"1,926",590,"2,516",76.5501
　西屯區,,"6,950","54,982","74,475","136,407","1,729","138,136",4,"138,140","42,868","181,008",76.3149
,西安里,174,"1,323","2,119","3,616",52,"3,668",0,"3,668",987,"4,655",78.7970
,至善里,165,"1,317","1,742","3,224",37,"3,261",0,"3,261",938,"4,199",77.6613
,西平里,147,"1,665","1,735","3,547",51,"3,598",0,"3,598","1,211","4,809",74.8180
,西墩里,218,"1,454","2,407","4,079",45,"4,124",0,"4,124","1,316","5,440",75.8088
,潮洋里,207,"1,463","2,041","3,711",59,"3,770",0,"3,770","1,946","5,716",65.9552
,龍潭里,20,182,421,623,9,632,0,632,160,792,79.7980
,惠來里,494,"4,270","5,144","9,908",105,"10,013",0,"10,013","3,269","13,282",75.3877
,上石里,219,"1,424","1,922","3,565",54,"3,619",0,"3,619","1,143","4,762",75.9975
,上安里,208,"1,432","2,071","3,711",58,"3,769",1,"3,770","1,150","4,920",76.6057
,上德里,172,"1,287","1,631","3,090",41,"3,131",0,"3,131",898,"4,029",77.7116
,逢甲里,165,"1,248","1,680","3,093",36,"3,129",1,"3,130","1,016","4,146",75.4703
,逢福里,222,"1,670","2,133","4,025",59,"4,084",0,"4,084","1,122","5,206",78.4479
,鵬程里,84,"1,452",451,"1,987",28,"2,015",0,"2,015",660,"2,675",75.3271
,何厝里,100,822,"1,386","2,308",38,"2,346",0,"2,346",756,"3,102",75.6286
,何明里,123,"1,046","1,564","2,733",26,"2,759",0,"2,759",751,"3,510",78.6040
,何南里,134,"1,284","1,725","3,143",36,"3,179",0,"3,179",907,"4,086",77.8023
,何成里,281,"2,105","2,931","5,317",56,"5,373",0,"5,373","1,595","6,968",77.1096
,何安里,185,"1,412","2,129","3,726",46,"3,772",0,"3,772","1,207","4,979",75.7582
,何仁里,217,"1,661","2,682","4,560",51,"4,611",0,"4,611","1,415","6,026",76.5184
,何德里,139,"1,040","1,519","2,698",43,"2,741",0,"2,741",773,"3,514",78.0023
,何福里,175,"1,271","1,866","3,312",43,"3,355",0,"3,355",897,"4,252",78.9040
,何源里,265,"2,034","2,684","4,983",54,"5,037",0,"5,037","1,458","6,495",77.5520
,大河里,139,969,"1,766","2,874",34,"2,908",1,"2,909",760,"3,669",79.2587
,大石里,73,"1,207",359,"1,639",30,"1,669",0,"1,669",469,"2,138",78.0636
,大福里,125,"1,044","1,135","2,304",42,"2,346",1,"2,347",768,"3,115",75.3130
,大鵬里,167,"1,517","1,831","3,515",31,"3,546",0,"3,546","1,175","4,721",75.1112
,港尾里,167,"1,380","2,146","3,693",38,"3,731",0,"3,731","1,070","4,801",77.7130
,廣福里,78,509,"1,168","1,755",34,"1,789",0,"1,789",472,"2,261",79.1243
,林厝里,115,980,"1,404","2,499",32,"2,531",0,"2,531",749,"3,280",77.1646
,永安里,457,"3,593","4,895","8,945",104,"9,049",0,"9,049","3,005","12,054",75.0705
,福安里,124,854,"1,108","2,086",20,"2,106",0,"2,106",569,"2,675",78.7290
,福雅里,257,"1,650","2,282","4,189",51,"4,240",0,"4,240","1,216","5,456",77.7126
,福林里,298,"2,294","2,830","5,422",78,"5,500",0,"5,500","1,573","7,073",77.7605
,福瑞里,103,932,"1,032","2,067",22,"2,089",0,"2,089",757,"2,846",73.4013
,福聯里,109,866,"1,130","2,105",29,"2,134",0,"2,134",879,"3,013",70.8264
,福和里,151,996,"2,059","3,206",39,"3,245",0,"3,245",969,"4,214",77.0052
,福中里,118,859,"1,412","2,389",33,"2,422",0,"2,422",712,"3,134",77.2814
,福恩里,203,"1,385","1,924","3,512",42,"3,554",0,"3,554","1,043","4,597",77.3113
,協和里,152,"1,085","2,011","3,248",43,"3,291",0,"3,291","1,107","4,398",74.8295
　南屯區,,"5,261","39,433","57,752","102,446","1,231","103,677",2,"103,679","30,281","133,960",77.3940
,南屯里,306,"2,379","3,675","6,360",78,"6,438",0,"6,438","1,760","8,198",78.5313
,豐樂里,402,"3,183","4,827","8,412",112,"8,524",0,"8,524","2,230","10,754",79.2635
,楓樹里,188,"1,651","2,679","4,518",70,"4,588",0,"4,588","1,162","5,750",79.7913
,中和里,190,"1,114","1,993","3,297",46,"3,343",0,"3,343",928,"4,271",78.2721
,鎮平里,48,318,707,"1,073",14,"1,087",0,"1,087",288,"1,375",79.0545
,春社里,236,"1,833","2,326","4,395",52,"4,447",0,"4,447","1,827","6,274",70.8798
,春安里,25,255,263,543,9,552,0,552,227,779,70.8601
,文山里,408,"2,648","4,437","7,493",95,"7,588",0,"7,588","2,406","9,994",75.9256
,寶山里,228,"1,318","2,212","3,758",44,"3,802",0,"3,802","1,250","5,052",75.2573
,新生里,64,470,820,"1,354",17,"1,371",0,"1,371",432,"1,803",76.0399
,永定里,205,"1,211","2,284","3,700",35,"3,735",0,"3,735","1,044","4,779",78.1544
,三厝里,275,"1,899","2,758","4,932",63,"4,995",0,"4,995","1,363","6,358",78.5624
,三義里,265,"2,033","2,502","4,800",53,"4,853",0,"4,853","1,276","6,129",79.1809
,三和里,339,"2,636","3,145","6,120",71,"6,191",0,"6,191","1,687","7,878",78.5859
,黎明里,129,"1,599","1,483","3,211",29,"3,240",0,"3,240",889,"4,129",78.4694
,溝墘里,188,"1,584","2,251","4,023",47,"4,070",0,"4,070","1,031","5,101",79.7883
,大業里,228,"1,940","2,689","4,857",41,"4,898",0,"4,898","1,376","6,274",78.0682
,惠中里,296,"2,162","2,944","5,402",64,"5,466",0,"5,466","1,515","6,981",78.2982
,田心里,248,"1,663","2,734","4,645",52,"4,697",0,"4,697","1,275","5,972",78.6504
,向心里,174,"1,354","1,916","3,444",49,"3,493",0,"3,493","1,630","5,123",68.1827
,文心里,147,"1,081","1,537","2,765",45,"2,810",0,"2,810",817,"3,627",77.4745
,同心里,199,"1,552","2,034","3,785",44,"3,829",0,"3,829","1,192","5,021",76.2597
,大同里,170,"1,308","2,149","3,627",30,"3,657",1,"3,658","1,005","4,663",78.4259
,大興里,172,"1,192","1,901","3,265",50,"3,315",1,"3,316",924,"4,240",78.1840
,大誠里,131,"1,050","1,486","2,667",21,"2,688",0,"2,688",747,"3,435",78.2533
　北屯區,,"8,468","69,589","92,862","170,919","1,835","172,754",7,"172,761","53,414","226,175",76.3807
,三光里,266,"2,151","2,754","5,171",62,"5,233",0,"5,233","1,596","6,829",76.6291
,三和里,187,"1,796","2,263","4,246",51,"4,297",0,"4,297","1,268","5,565",77.2147
,大坑里,69,569,906,"1,544",25,"1,569",0,"1,569",495,"2,064",76.0174
,大德里,180,"1,696","1,816","3,692",42,"3,734",0,"3,734","1,058","4,792",77.9215
,仁和里,294,"2,408","3,198","5,900",59,"5,959",0,"5,959","2,858","8,817",67.5853
,仁美里,341,"2,418","3,455","6,214",66,"6,280",0,"6,280","1,819","8,099",77.5404
,仁愛里,58,335,390,783,11,794,0,794,255,"1,049",75.6911
,水景里,469,"3,761","5,749","9,979",113,"10,092",0,"10,092","2,878","12,970",77.8103
,水湳里,237,"2,047","2,589","4,873",47,"4,920",0,"4,920","1,548","6,468",76.0668
,北屯里,89,"1,080","1,346","2,515",18,"2,533",0,"2,533",793,"3,326",76.1575
,北京里,98,892,"1,341","2,331",21,"2,352",0,"2,352",723,"3,075",76.4878
,北興里,142,995,"1,278","2,415",30,"2,445",0,"2,445",735,"3,180",76.8868
,四民里,58,456,695,"1,209",18,"1,227",0,"1,227",294,"1,521",80.6706
,平心里,178,"1,441","1,843","3,462",19,"3,481",0,"3,481","1,125","4,606",75.5753
,平田里,204,"1,706","2,232","4,142",49,"4,191",0,"4,191","1,314","5,505",76.1308
,平安里,175,"1,527","2,090","3,792",45,"3,837",0,"3,837","1,197","5,034",76.2217
,平和里,180,"1,547","1,950","3,677",34,"3,711",0,"3,711","1,181","4,892",75.8585
,平昌里,124,"1,398","1,733","3,255",47,"3,302",0,"3,302","1,044","4,346",75.9779
,平陽里,186,"1,483","1,924","3,593",25,"3,618",0,"3,618","1,108","4,726",76.5552
,平順里,119,888,"1,346","2,353",24,"2,377",1,"2,378",731,"3,109",76.4555
,平福里,145,"1,218","1,378","2,741",24,"2,765",0,"2,765",787,"3,552",77.8435
,平德里,238,"1,835","2,450","4,523",50,"4,573",0,"4,573","1,452","6,025",75.9004
,平興里,262,"1,965","2,627","4,854",60,"4,914",0,"4,914","1,584","6,498",75.6233
