第15任總統副總統選舉候選人在臺南市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"41,075","339,702","786,471","1,167,248","12,341","1,179,589",22,"1,179,611","377,234","1,556,845",75.7679
　新營區,,"1,720","15,517","28,969","46,206",548,"46,754",0,"46,754","15,797","62,551",74.7454
,忠政里,117,"1,446","1,832","3,395",30,"3,425",0,"3,425","1,096","4,521",75.7576
,民權里,57,638,959,"1,654",20,"1,674",0,"1,674",550,"2,224",75.2698
,三仙里,75,688,"1,258","2,021",29,"2,050",0,"2,050",744,"2,794",73.3715
,永平里,69,680,"1,233","1,982",24,"2,006",0,"2,006",675,"2,681",74.8228
,大宏里,81,727,"1,273","2,081",24,"2,105",0,"2,105",748,"2,853",73.7820
,王公里,123,"1,026","1,795","2,944",39,"2,983",0,"2,983",995,"3,978",74.9874
,新東里,191,"1,639","2,743","4,573",72,"4,645",0,"4,645","1,300","5,945",78.1329
,中營里,36,303,547,886,9,895,0,895,257,"1,152",77.6910
,土庫里,30,298,732,"1,060",10,"1,070",0,"1,070",329,"1,399",76.4832
,興業里,55,498,699,"1,252",21,"1,273",0,"1,273",438,"1,711",74.4009
,南興里,61,597,"1,009","1,667",16,"1,683",0,"1,683",679,"2,362",71.2532
,民生里,62,748,"1,454","2,264",15,"2,279",0,"2,279",868,"3,147",72.4182
,新北里,127,"1,234","2,078","3,439",41,"3,480",0,"3,480","1,153","4,633",75.1133
,新南里,167,"1,195","2,239","3,601",38,"3,639",0,"3,639","1,113","4,752",76.5783
,民榮里,107,"1,012","1,985","3,104",38,"3,142",0,"3,142","1,150","4,292",73.2060
,埤寮里,48,318,784,"1,150",10,"1,160",0,"1,160",428,"1,588",73.0479
,護鎮里,34,269,668,971,11,982,0,982,352,"1,334",73.6132
,太南里,31,267,916,"1,214",7,"1,221",0,"1,221",433,"1,654",73.8210
,太北里,35,276,935,"1,246",18,"1,264",0,"1,264",423,"1,687",74.9259
,南紙里,109,896,"1,644","2,649",29,"2,678",0,"2,678",907,"3,585",74.7001
,嘉芳里,48,348,884,"1,280",18,"1,298",0,"1,298",503,"1,801",72.0711
,姑爺里,24,148,497,669,10,679,0,679,229,908,74.7797
,五興里,33,266,805,"1,104",19,"1,123",0,"1,123",427,"1,550",72.4516
　鹽水區,,427,"4,021","11,099","15,547",185,"15,732",0,"15,732","5,889","21,621",72.7626
,水秀里,29,312,766,"1,107",11,"1,118",0,"1,118",376,"1,494",74.8327
,津城里,34,289,706,"1,029",18,"1,047",0,"1,047",373,"1,420",73.7324
,月港里,31,414,740,"1,185",9,"1,194",0,"1,194",382,"1,576",75.7614
,橋南里,89,747,"1,791","2,627",40,"2,667",0,"2,667",993,"3,660",72.8689
,岸內里,83,756,"1,807","2,646",23,"2,669",0,"2,669",940,"3,609",73.9540
,汫水里,9,98,498,605,5,610,0,610,283,893,68.3091
,義中里,27,250,805,"1,082",18,"1,100",0,"1,100",445,"1,545",71.1974
,三明里,16,185,857,"1,058",15,"1,073",0,"1,073",423,"1,496",71.7246
,文昌里,22,154,477,653,2,655,0,655,333,988,66.2955
,歡雅里,36,258,832,"1,126",13,"1,139",0,"1,139",464,"1,603",71.0543
,三和里,13,163,465,641,5,646,0,646,228,874,73.9130
,竹林里,14,155,616,785,9,794,0,794,296,"1,090",72.8440
,?頭港里,24,240,739,"1,003",17,"1,020",0,"1,020",353,"1,373",74.2899
　白河區,,454,"4,611","11,831","16,896",194,"17,090",1,"17,091","6,981","24,072",70.9953
,白河里,36,361,810,"1,207",17,"1,224",0,"1,224",432,"1,656",73.9130
,永安里,57,604,"1,495","2,156",25,"2,181",0,"2,181",704,"2,885",75.5979
,外角里,25,239,682,946,13,959,0,959,377,"1,336",71.7814
,庄內里,39,287,841,"1,167",12,"1,179",0,"1,179",401,"1,580",74.6203
,秀祐里,25,158,437,620,5,625,0,625,230,855,73.0994
,河東里,26,247,632,905,18,923,0,923,395,"1,318",70.0303
,虎山里,4,101,192,297,7,304,0,304,133,437,69.5652
,大林里,9,70,298,377,4,381,0,381,199,580,65.6897
,崁頭里,7,71,169,247,5,252,0,252,110,362,69.6133
,六溪里,7,74,224,305,1,306,0,306,187,493,62.0690
,關嶺里,11,216,428,655,7,662,0,662,336,998,66.3327
,仙草里,18,258,505,781,12,793,0,793,458,"1,251",63.3893
,詔豐里,25,313,"1,014","1,352",20,"1,372",1,"1,373",559,"1,932",71.0145
,大竹里,35,268,643,946,11,957,0,957,430,"1,387",68.9978
,廣蓮里,29,260,750,"1,039",7,"1,046",0,"1,046",395,"1,441",72.5885
,竹門里,22,179,390,591,6,597,0,597,248,845,70.6509
,崎內里,15,176,277,468,3,471,0,471,238,709,66.4316
,昇安里,28,238,691,957,10,967,0,967,324,"1,291",74.9032
,汴頭里,6,95,364,465,3,468,0,468,235,703,66.5718
,內角里,10,122,355,487,3,490,0,490,176,666,73.5736
,馬稠後里,20,274,634,928,5,933,0,933,414,"1,347",69.2650
　柳營區,,487,"3,578","9,457","13,522",175,"13,697",3,"13,700","4,649","18,349",74.6471
,士林里,61,341,944,"1,346",18,"1,364",1,"1,365",442,"1,807",75.4842
,光福里,45,343,775,"1,163",11,"1,174",0,"1,174",344,"1,518",77.3386
,中埕里,29,215,531,775,8,783,0,783,303,"1,086",72.0994
,東昇里,73,570,"1,396","2,039",32,"2,071",1,"2,072",621,"2,693",76.9031
,八翁里,38,299,697,"1,034",5,"1,039",0,"1,039",328,"1,367",76.0059
,人和里,25,170,349,544,9,553,0,553,178,731,75.6498
,太康里,35,293,733,"1,061",14,"1,075",1,"1,076",367,"1,443",74.4976
,重溪里,51,293,931,"1,275",15,"1,290",0,"1,290",437,"1,727",74.6960
,篤農里,23,240,673,936,12,948,0,948,324,"1,272",74.5283
,大農里,13,116,338,467,10,477,0,477,182,659,72.3824
,神農里,28,187,751,966,14,980,0,980,370,"1,350",72.5926
,果毅里,33,197,620,850,8,858,0,858,320,"1,178",72.8353
,旭山里,33,314,719,"1,066",19,"1,085",0,"1,085",433,"1,518",71.4756
　後壁區,,447,"3,822","10,335","14,604",173,"14,777",0,"14,777","5,331","20,108",73.4882
,後壁里,35,380,773,"1,188",12,"1,200",0,"1,200",379,"1,579",75.9975
,侯伯里,19,235,649,903,10,913,0,913,351,"1,264",72.2310
,嘉苳里,31,248,607,886,7,893,0,893,341,"1,234",72.3663
,土溝里,15,224,706,945,9,954,0,954,329,"1,283",74.3570
,上茄苳里,38,324,"1,203","1,565",16,"1,581",0,"1,581",562,"2,143",73.7751
,菁豐里,25,243,581,849,14,863,0,863,311,"1,174",73.5094
,菁寮里,49,288,680,"1,017",19,"1,036",0,"1,036",386,"1,422",72.8551
,新嘉里,14,150,521,685,12,697,0,697,271,968,72.0041
,長短樹里,39,359,"1,006","1,404",15,"1,419",0,"1,419",505,"1,924",73.7526
,竹新里,36,176,771,983,14,997,0,997,343,"1,340",74.4030
,新東里,39,277,828,"1,144",12,"1,156",0,"1,156",447,"1,603",72.1148
,頂安里,41,319,549,909,7,916,0,916,302,"1,218",75.2053
,長安里,30,277,576,883,16,899,0,899,317,"1,216",73.9309
,福安里,36,322,885,"1,243",10,"1,253",0,"1,253",487,"1,740",72.0115
　東山區,,356,"3,638","7,940","11,934",130,"12,064",0,"12,064","5,796","17,860",67.5476
,東山里,38,303,577,918,6,924,0,924,437,"1,361",67.8913
,東中里,56,532,"1,144","1,732",19,"1,751",0,"1,751",671,"2,422",72.2956
,東正里,24,246,653,923,10,933,0,933,460,"1,393",66.9777
,大客里,9,207,453,669,8,677,0,677,388,"1,065",63.5681
,三榮里,21,157,426,604,4,608,0,608,304,912,66.6667
,科里里,24,242,557,823,14,837,0,837,379,"1,216",68.8322
,東河里,13,124,446,583,6,589,0,589,254,843,69.8695
,聖賢里,47,338,927,"1,312",22,"1,334",0,"1,334",501,"1,835",72.6975
,南溪里,6,87,162,255,1,256,0,256,152,408,62.7451
,水雲里,5,50,162,217,4,221,0,221,157,378,58.4656
,林安里,0,63,171,234,3,237,0,237,123,360,65.8333
,東原里,36,458,818,"1,312",15,"1,327",0,"1,327",718,"2,045",64.8900
,嶺南里,13,98,278,389,3,392,0,392,250,642,61.0592
,南勢里,32,226,390,648,6,654,0,654,410,"1,064",61.4662
,青山里,18,239,436,693,7,700,0,700,334,"1,034",67.6983
,高原里,14,268,340,622,2,624,0,624,258,882,70.7483
　麻豆區,,767,"5,883","21,670","28,320",290,"28,610",1,"28,611","8,213","36,824",77.6939
,新興里,41,283,"1,079","1,403",12,"1,415",0,"1,415",393,"1,808",78.2633
,巷口里,56,409,"1,124","1,589",18,"1,607",0,"1,607",459,"2,066",77.7832
,東角里,52,538,"1,334","1,924",19,"1,943",0,"1,943",559,"2,502",77.6579
,?江里,59,389,"1,381","1,829",18,"1,847",0,"1,847",563,"2,410",76.6390
,中興里,34,383,"1,019","1,436",9,"1,445",0,"1,445",480,"1,925",75.0649
,興農里,32,218,875,"1,125",19,"1,144",0,"1,144",305,"1,449",78.9510
,油車里,77,540,"2,103","2,720",18,"2,738",0,"2,738",670,"3,408",80.3404
,北勢里,25,103,692,820,9,829,0,829,257,"1,086",76.3352
,大埕里,60,492,"1,559","2,111",26,"2,137",0,"2,137",614,"2,751",77.6808
,清水里,27,241,870,"1,138",8,"1,146",0,"1,146",306,"1,452",78.9256
,南勢里,45,517,"1,167","1,729",14,"1,743",0,"1,743",512,"2,255",77.2949
,寮?里,36,196,990,"1,222",10,"1,232",0,"1,232",354,"1,586",77.6797
,埤頭里,43,245,"1,419","1,707",14,"1,721",0,"1,721",534,"2,255",76.3193
,海埔里,38,295,"1,213","1,546",28,"1,574",1,"1,575",483,"2,058",76.4820
,港尾里,21,214,664,899,12,911,0,911,291,"1,202",75.7903
,麻口里,21,131,697,849,13,862,0,862,219,"1,081",79.7410
,安業里,12,150,839,"1,001",10,"1,011",0,"1,011",277,"1,288",78.4938
,謝厝寮里,42,186,"1,044","1,272",15,"1,287",0,"1,287",337,"1,624",79.2488
,安正里,12,110,552,674,5,679,0,679,243,922,73.6443
,井東里,34,243,"1,049","1,326",13,"1,339",0,"1,339",357,"1,696",78.9505
　下營區,,434,"3,987","10,333","14,754",168,"14,922",0,"14,922","5,387","20,309",73.4748
,下營里,35,380,688,"1,103",14,"1,117",0,"1,117",382,"1,499",74.5163
,仁里里,35,383,946,"1,364",11,"1,375",0,"1,375",553,"1,928",71.3174
,宅內里,36,410,685,"1,131",18,"1,149",0,"1,149",426,"1,575",72.9524
,後街里,37,369,718,"1,124",8,"1,132",0,"1,132",404,"1,536",73.6979
,新興里,37,400,891,"1,328",13,"1,341",0,"1,341",549,"1,890",70.9524
,營前里,34,462,999,"1,495",19,"1,514",0,"1,514",529,"2,043",74.1067
,大吉里,26,319,768,"1,113",21,"1,134",0,"1,134",405,"1,539",73.6842
,茅營里,53,350,"1,214","1,617",10,"1,627",0,"1,627",530,"2,157",75.4288
,開化里,40,300,"1,024","1,364",13,"1,377",0,"1,377",457,"1,834",75.0818
,西連里,24,111,509,644,8,652,0,652,212,864,75.4630
,賀建里,26,211,639,876,15,891,0,891,369,"1,260",70.7143
,紅甲里,51,292,"1,252","1,595",18,"1,613",0,"1,613",571,"2,184",73.8553
　六甲區,,442,"3,243","9,686","13,371",141,"13,512",0,"13,512","4,929","18,441",73.2715
,六甲里,101,502,"1,515","2,118",20,"2,138",0,"2,138",666,"2,804",76.2482
,甲東里,51,437,"1,379","1,867",22,"1,889",0,"1,889",729,"2,618",72.1543
,甲南里,24,244,686,954,7,961,0,961,333,"1,294",74.2658
,七甲里,42,292,961,"1,295",20,"1,315",0,"1,315",536,"1,851",71.0427
,二甲里,62,555,"1,758","2,375",26,"2,401",0,"2,401",824,"3,225",74.4496
,水林里,50,339,"1,091","1,480",18,"1,498",0,"1,498",537,"2,035",73.6118
,中社里,45,310,799,"1,154",12,"1,166",0,"1,166",403,"1,569",74.3149
,龜港里,34,232,594,860,5,865,0,865,279,"1,144",75.6119
,菁埔里,11,107,311,429,3,432,0,432,146,578,74.7405
,王爺里,18,113,338,469,4,473,0,473,246,719,65.7858
,大丘里,4,112,254,370,4,374,0,374,230,604,61.9205
　官田區,,384,"3,186","10,140","13,710",132,"13,842",0,"13,842","4,454","18,296",75.6559
,官田里,53,371,"1,040","1,464",14,"1,478",0,"1,478",520,"1,998",73.9740
,二鎮里,66,415,"1,861","2,342",19,"2,361",0,"2,361",701,"3,062",77.1065
,烏山頭里,22,168,699,889,7,896,0,896,312,"1,208",74.1722
,大崎里,5,73,197,275,0,275,0,275,121,396,69.4444
,隆田里,47,457,916,"1,420",13,"1,433",0,"1,433",500,"1,933",74.1335
,隆本里,79,824,"1,601","2,504",23,"2,527",0,"2,527",813,"3,340",75.6587
,南?里,28,187,669,884,13,897,0,897,312,"1,209",74.1935
,東西庄里,18,107,"1,267","1,392",16,"1,408",0,"1,408",427,"1,835",76.7302
,渡拔里,54,476,"1,386","1,916",19,"1,935",0,"1,935",528,"2,463",78.5627
,社子里,12,108,504,624,8,632,0,632,220,852,74.1784
　大內區,,192,"1,643","4,249","6,084",68,"6,152",0,"6,152","2,178","8,330",73.8535
,石湖里,25,187,478,690,13,703,0,703,273,976,72.0287
,石林里,16,81,357,454,4,458,0,458,163,621,73.7520
,石城里,27,238,760,"1,025",9,"1,034",0,"1,034",364,"1,398",73.9628
,內江里,15,203,440,658,4,662,0,662,236,898,73.7194
,大內里,20,178,385,583,5,588,0,588,168,756,77.7778
,內郭里,13,102,333,448,2,450,0,450,157,607,74.1351
,頭社里,31,178,475,684,5,689,0,689,284,973,70.8119
,環湖里,14,188,304,506,7,513,0,513,200,713,71.9495
,二溪里,19,181,414,614,13,627,0,627,201,828,75.7246
,曲溪里,12,107,303,422,6,428,0,428,132,560,76.4286
　佳里區,,"1,171","9,486","26,071","36,728",359,"37,087",0,"37,087","12,009","49,096",75.5398
,東寧里,46,480,"1,145","1,671",16,"1,687",0,"1,687",525,"2,212",76.2658
,忠仁里,59,499,"1,489","2,047",24,"2,071",0,"2,071",694,"2,765",74.9005
,鎮山里,152,"1,012","2,956","4,120",34,"4,154",0,"4,154","1,300","5,454",76.1643
,安西里,140,"1,209","2,966","4,315",45,"4,360",0,"4,360","1,367","5,727",76.1306
,文新里,133,"1,094","2,466","3,693",36,"3,729",0,"3,729","1,191","4,920",75.7927
,建南里,102,854,"2,054","3,010",30,"3,040",0,"3,040","1,061","4,101",74.1283
,南勢里,94,839,"2,280","3,213",24,"3,237",0,"3,237","1,043","4,280",75.6308
,六安里,113,856,"1,964","2,933",43,"2,976",0,"2,976",947,"3,923",75.8603
,佳化里,52,375,"1,108","1,535",5,"1,540",0,"1,540",539,"2,079",74.0741
,佳興里,36,375,"1,162","1,573",17,"1,590",0,"1,590",478,"2,068",76.8859
,營溪里,28,187,558,773,6,779,0,779,271,"1,050",74.1905
,海澄里,41,380,"1,130","1,551",14,"1,565",0,"1,565",553,"2,118",73.8905
,下營里,27,327,987,"1,341",15,"1,356",0,"1,356",433,"1,789",75.7965
,塭內里,60,402,"1,549","2,011",20,"2,031",0,"2,031",696,"2,727",74.4774
,民安里,36,239,908,"1,183",10,"1,193",0,"1,193",355,"1,548",77.0672
,子龍里,52,358,"1,349","1,759",20,"1,779",0,"1,779",556,"2,335",76.1884
　學甲區,,446,"3,581","11,857","15,884",152,"16,036",0,"16,036","5,933","21,969",72.9938
,秀昌里,42,401,"1,343","1,786",19,"1,805",0,"1,805",585,"2,390",75.5230
,明宜里,30,271,"1,074","1,375",9,"1,384",0,"1,384",482,"1,866",74.1693
,慈福里,49,406,967,"1,422",19,"1,441",0,"1,441",505,"1,946",74.0493
,仁得里,94,680,"2,009","2,783",28,"2,811",0,"2,811",913,"3,724",75.4834
,新達里,40,380,"1,027","1,447",14,"1,461",0,"1,461",609,"2,070",70.5797
,新榮里,51,355,"1,193","1,599",6,"1,605",0,"1,605",555,"2,160",74.3056
,大灣里,22,163,495,680,9,689,0,689,254,943,73.0647
,豐和里,21,152,681,854,5,859,0,859,322,"1,181",72.7350
,中洲里,22,225,708,955,13,968,0,968,394,"1,362",71.0720
,光華里,18,130,640,788,11,799,0,799,381,"1,180",67.7119
,宅港里,14,96,426,536,2,538,0,538,249,787,68.3609
,平和里,20,108,605,733,6,739,0,739,280,"1,019",72.5221
,三慶里,23,214,689,926,11,937,0,937,404,"1,341",69.8732
　西港區,,452,"3,445","11,836","15,733",181,"15,914",0,"15,914","5,061","20,975",75.8713
,西港里,75,508,"1,754","2,337",23,"2,360",0,"2,360",691,"3,051",77.3517
,慶安里,99,781,"2,253","3,133",23,"3,156",0,"3,156","1,010","4,166",75.7561
,南海里,52,327,"1,371","1,750",30,"1,780",0,"1,780",550,"2,330",76.3948
,港東里,36,272,873,"1,181",13,"1,194",0,"1,194",383,"1,577",75.7134
,檨林里,40,252,880,"1,172",14,"1,186",0,"1,186",401,"1,587",74.7322
,後營里,22,162,818,"1,002",14,"1,016",0,"1,016",381,"1,397",72.7273
,營西里,32,237,745,"1,014",14,"1,028",0,"1,028",404,"1,432",71.7877
,金砂里,13,132,451,596,3,599,0,599,145,744,80.5108
,劉厝里,24,190,736,950,13,963,0,963,302,"1,265",76.1265
,竹林里,15,217,781,"1,013",15,"1,028",0,"1,028",307,"1,335",77.0037
,永樂里,19,176,792,987,8,995,0,995,317,"1,312",75.8384
,新復里,25,191,382,598,11,609,0,609,170,779,78.1772
　七股區,,397,"3,173","10,229","13,799",136,"13,935",0,"13,935","5,373","19,308",72.1722
,後港里,20,156,590,766,3,769,0,769,228,997,77.1314
,大潭里,18,98,323,439,5,444,0,444,208,652,68.0982
,篤加里,17,136,399,552,3,555,0,555,253,808,68.6881
,頂山里,8,129,388,525,4,529,0,529,244,773,68.4347
,西寮里,7,78,234,319,6,325,0,325,138,463,70.1944
,?埕里,8,67,211,286,1,287,0,287,123,410,70.0000
,中寮里,8,132,288,428,2,430,0,430,244,674,63.7982
,龍山里,25,208,908,"1,141",9,"1,150",0,"1,150",426,"1,576",72.9695
,溪南里,15,89,161,265,3,268,0,268,76,344,77.9070
,七股里,20,109,533,662,6,668,0,668,204,872,76.6055
,玉成里,13,141,392,546,6,552,0,552,204,756,73.0159
,大埕里,60,394,"1,324","1,778",16,"1,794",0,"1,794",720,"2,514",71.3604
,樹林里,39,286,"1,012","1,337",19,"1,356",0,"1,356",490,"1,846",73.4561
,竹橋里,25,199,714,938,11,949,0,949,261,"1,210",78.4298
,義合里,39,328,993,"1,360",10,"1,370",0,"1,370",440,"1,810",75.6906
,永吉里,25,172,490,687,5,692,0,692,269,961,72.0083
,三股里,27,203,670,900,17,917,0,917,396,"1,313",69.8401
,十份里,23,248,599,870,10,880,0,880,449,"1,329",66.2152
