第15任總統副總統選舉候選人在花蓮縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"6,869","111,834","66,509","185,212","2,081","187,293",7,"187,300","82,258","269,558",69.4815
　花蓮市,,"2,403","33,796","23,372","59,571",639,"60,210",4,"60,214","22,106","82,320",73.1414
,民德里,46,631,446,"1,123",13,"1,136",0,"1,136",342,"1,478",76.8606
,民勤里,94,"1,400",779,"2,273",21,"2,294",0,"2,294",729,"3,023",75.8849
,民意里,53,975,338,"1,366",16,"1,382",0,"1,382",579,"1,961",70.4742
,民心里,25,376,252,653,5,658,0,658,238,896,73.4375
,民享里,90,"1,336",690,"2,116",14,"2,130",0,"2,130",764,"2,894",73.6006
,民孝里,139,"1,615",752,"2,506",27,"2,533",1,"2,534",876,"3,410",74.2815
,民運里,62,799,537,"1,398",15,"1,413",0,"1,413",543,"1,956",72.2393
,民政里,85,"1,584",955,"2,624",23,"2,647",0,"2,647",855,"3,502",75.5854
,民立里,53,580,417,"1,050",14,"1,064",0,"1,064",436,"1,500",70.9333
,民樂里,16,247,173,436,3,439,0,439,155,594,73.9057
,民有里,18,220,198,436,5,441,0,441,158,599,73.6227
,民主里,16,241,145,402,3,405,0,405,157,562,72.0641
,民族里,12,181,137,330,1,331,0,331,112,443,74.7178
,民生里,29,393,353,775,8,783,0,783,298,"1,081",72.4329
,民權里,10,169,103,282,3,285,0,285,109,394,72.3350
,主商里,17,203,205,425,5,430,0,430,130,560,76.7857
,主勤里,25,287,266,578,5,583,0,583,212,795,73.3333
,主工里,18,204,172,394,8,402,0,402,115,517,77.7563
,主信里,17,213,193,423,9,432,0,432,153,585,73.8462
,主義里,15,191,137,343,4,347,0,347,96,443,78.3296
,主睦里,19,195,175,389,1,390,0,390,149,539,72.3562
,主計里,17,291,222,530,10,540,0,540,234,774,69.7674
,主和里,91,"1,121",904,"2,116",22,"2,138",2,"2,140",741,"2,881",74.2103
,主學里,56,693,556,"1,305",10,"1,315",0,"1,315",473,"1,788",73.5459
,主農里,103,"1,374","1,035","2,512",30,"2,542",0,"2,542",853,"3,395",74.8748
,主安里,80,966,659,"1,705",15,"1,720",1,"1,721",659,"2,380",72.2689
,主權里,159,"2,070","1,445","3,674",34,"3,708",0,"3,708","1,353","5,061",73.2662
,主力里,88,991,832,"1,911",21,"1,932",0,"1,932",679,"2,611",73.9946
,國風里,95,"1,282",948,"2,325",24,"2,349",0,"2,349",783,"3,132",75.0000
,國威里,35,530,465,"1,030",15,"1,045",0,"1,045",697,"1,742",59.9885
,國治里,20,348,246,614,8,622,0,622,219,841,73.9596
,國安里,24,243,169,436,2,438,0,438,107,545,80.3670
,國光里,32,451,347,830,11,841,0,841,341,"1,182",71.1506
,國防里,23,312,238,573,8,581,0,581,217,798,72.8070
,國華里,58,875,697,"1,630",23,"1,653",0,"1,653",485,"2,138",77.3152
,國魂里,47,711,581,"1,339",20,"1,359",0,"1,359",495,"1,854",73.3010
,國聯里,53,"1,029",834,"1,916",17,"1,933",0,"1,933",763,"2,696",71.6988
,國盛里,92,"1,394",957,"2,443",29,"2,472",0,"2,472","1,149","3,621",68.2684
,國強里,45,706,471,"1,222",18,"1,240",0,"1,240",437,"1,677",73.9416
,國富里,140,"1,956","1,436","3,532",32,"3,564",0,"3,564","1,337","4,901",72.7199
,國裕里,99,"1,721","1,123","2,943",46,"2,989",0,"2,989","1,101","4,090",73.0807
,國慶里,26,410,359,795,9,804,0,804,244,"1,048",76.7176
,國興里,116,"1,706","1,081","2,903",25,"2,928",0,"2,928","1,054","3,982",73.5309
,國福里,45,576,344,965,7,972,0,972,479,"1,451",66.9883
　鳳林鎮,,221,"4,044","2,280","6,545",73,"6,618",0,"6,618","2,732","9,350",70.7807
,鳳仁里,31,492,292,815,9,824,0,824,318,"1,142",72.1541
,鳳義里,15,295,124,434,6,440,0,440,179,619,71.0824
,鳳禮里,6,264,164,434,6,440,0,440,144,584,75.3425
,鳳智里,24,501,259,784,12,796,0,796,294,"1,090",73.0275
,鳳信里,31,597,263,891,6,897,0,897,406,"1,303",68.8411
,山興里,15,238,95,348,3,351,0,351,173,524,66.9847
,大榮里,29,469,330,828,9,837,0,837,375,"1,212",69.0594
,北林里,11,198,176,385,4,389,0,389,132,521,74.6641
,南平里,12,203,149,364,2,366,0,366,160,526,69.5817
,林榮里,22,363,183,568,12,580,0,580,205,785,73.8854
,長橋里,24,367,234,625,4,629,0,629,320,949,66.2803
,森榮里,1,57,11,69,0,69,0,69,26,95,72.6316
　玉里鎮,,410,"7,550","3,936","11,896",138,"12,034",0,"12,034","7,810","19,844",60.6430
,中城里,99,"1,928","1,290","3,317",37,"3,354",0,"3,354","1,596","4,950",67.7576
,國武里,24,455,322,801,9,810,0,810,354,"1,164",69.5876
,啟模里,37,588,347,972,11,983,0,983,573,"1,556",63.1748
,泰昌里,25,419,192,636,3,639,0,639,666,"1,305",48.9655
,永昌里,31,450,211,692,12,704,0,704,519,"1,223",57.5634
,源城里,27,444,271,742,7,749,0,749,448,"1,197",62.5731
,長良里,23,226,101,350,4,354,0,354,267,621,57.0048
,樂合里,21,406,100,527,7,534,0,534,433,967,55.2223
,東豐里,11,209,79,299,3,302,0,302,199,501,60.2794
,觀音里,22,562,236,820,9,829,0,829,647,"1,476",56.1653
,松浦里,33,505,175,713,9,722,0,722,719,"1,441",50.1041
,春日里,12,334,139,485,9,494,0,494,342,836,59.0909
,德武里,9,350,59,418,8,426,0,426,317,743,57.3351
,三民里,19,274,217,510,6,516,0,516,315,831,62.0939
,大禹里,17,400,197,614,4,618,0,618,415,"1,033",59.8258
　新城鄉,,451,"7,130","4,004","11,585",133,"11,718",0,"11,718","4,948","16,666",70.3108
,新城村,34,514,377,925,12,937,0,937,312,"1,249",75.0200
,順安村,20,250,353,623,5,628,0,628,266,894,70.2461
,康樂村,50,"1,027",596,"1,673",14,"1,687",0,"1,687",656,"2,343",72.0017
,大漢村,75,"1,171",471,"1,717",17,"1,734",0,"1,734",720,"2,454",70.6601
,北埔村,101,"1,611",909,"2,621",32,"2,653",0,"2,653","1,255","3,908",67.8864
,佳林村,22,425,236,683,5,688,0,688,276,964,71.3693
,嘉里村,119,"1,563",856,"2,538",36,"2,574",0,"2,574","1,080","3,654",70.4433
,嘉新村,30,569,206,805,12,817,0,817,383,"1,200",68.0833
　吉安鄉,,"1,900","28,957","19,318","50,175",533,"50,708",1,"50,709","19,673","70,382",72.0468
,永安村,116,"1,663","1,179","2,958",34,"2,992",0,"2,992","1,108","4,100",72.9756
,太昌村,88,"1,351","1,046","2,485",25,"2,510",0,"2,510","1,134","3,644",68.8804
,慶豐村,205,"2,685","1,981","4,871",52,"4,923",0,"4,923","1,769","6,692",73.5655
,吉安村,171,"2,113","1,388","3,672",42,"3,714",0,"3,714","1,486","5,200",71.4231
,福興村,88,"1,086",916,"2,090",34,"2,124",0,"2,124",740,"2,864",74.1620
,南華村,35,573,472,"1,080",17,"1,097",0,"1,097",428,"1,525",71.9344
,干城村,21,521,184,726,8,734,0,734,527,"1,261",58.2078
,永興村,74,"1,175",666,"1,915",18,"1,933",0,"1,933",845,"2,778",69.5824
,稻香村,99,"1,309",819,"2,227",23,"2,250",1,"2,251",806,"3,057",73.6016
,南昌村,102,"1,707",984,"2,793",27,"2,820",0,"2,820","1,179","3,999",70.5176
,宜昌村,96,"1,577","1,065","2,738",29,"2,767",0,"2,767","1,060","3,827",72.3021
,北昌村,180,"2,808","2,145","5,133",54,"5,187",0,"5,187","1,766","6,953",74.6009
,勝安村,128,"1,904","1,507","3,539",32,"3,571",0,"3,571","1,209","4,780",74.7071
,仁里村,144,"2,602","1,538","4,284",37,"4,321",0,"4,321","1,563","5,884",73.4364
,東昌村,130,"2,349","1,360","3,839",39,"3,878",0,"3,878","1,436","5,314",72.9770
,仁安村,56,877,621,"1,554",10,"1,564",0,"1,564",708,"2,272",68.8380
,仁和村,119,"1,766","1,072","2,957",37,"2,994",0,"2,994","1,354","4,348",68.8592
,光華村,48,891,375,"1,314",15,"1,329",0,"1,329",555,"1,884",70.5414
　壽豐鄉,,349,"6,333","3,840","10,522",147,"10,669",0,"10,669","4,759","15,428",69.1535
,溪口村,23,428,214,665,9,674,0,674,353,"1,027",65.6280
,樹湖村,11,142,90,243,5,248,0,248,101,349,71.0602
,豐山村,43,688,474,"1,205",16,"1,221",0,"1,221",613,"1,834",66.5758
,豐裡村,31,550,333,914,19,933,0,933,423,"1,356",68.8053
,豐坪村,24,362,186,572,7,579,0,579,272,851,68.0376
,壽豐村,33,620,430,"1,083",14,"1,097",0,"1,097",505,"1,602",68.4769
,共和村,15,305,199,519,6,525,0,525,178,703,74.6799
,光榮村,13,412,146,571,3,574,0,574,208,782,73.4015
,池南村,16,310,200,526,8,534,0,534,217,751,71.1052
,平和村,36,542,394,972,12,984,0,984,412,"1,396",70.4871
,志學村,53,926,763,"1,742",33,"1,775",0,"1,775",715,"2,490",71.2851
,米棧村,2,118,59,179,3,182,0,182,86,268,67.9104
,月眉村,19,390,114,523,6,529,0,529,271,800,66.1250
,鹽寮村,15,219,104,338,1,339,0,339,161,500,67.8000
,水璉村,15,321,134,470,5,475,0,475,244,719,66.0640
　光復鄉,,209,"4,741","2,068","7,018",61,"7,079",1,"7,080","3,919","10,999",64.3604
,大華村,25,482,329,836,12,848,0,848,405,"1,253",67.6776
,大安村,20,335,234,589,0,589,1,590,234,824,71.4806
,大平村,14,411,159,584,6,590,0,590,330,920,64.1304
,大馬村,28,443,125,596,10,606,0,606,360,966,62.7329
,大同村,16,406,224,646,8,654,0,654,345,999,65.4655
,東富村,16,474,102,592,6,598,0,598,378,976,61.2705
,西富村,14,426,147,587,5,592,0,592,340,932,63.5193
,南富村,16,390,128,534,1,535,0,535,297,832,64.3029
,北富村,11,447,114,572,3,575,0,575,317,892,64.4619
,大進村,8,200,101,309,2,311,0,311,143,454,68.5022
,大全村,18,284,165,467,4,471,0,471,274,745,63.2215
,大興村,8,197,62,267,2,269,0,269,189,458,58.7336
,大富村,10,99,79,188,0,188,0,188,121,309,60.8414
,大豐村,5,147,99,251,2,253,0,253,186,439,57.6310
　豐濱鄉,,61,"1,647",561,"2,269",32,"2,301",0,"2,301","1,735","4,036",57.0119
,靜浦村,8,278,63,349,3,352,0,352,317,669,52.6158
,港口村,11,289,150,450,6,456,0,456,260,716,63.6872
,豐濱村,30,684,219,933,15,948,0,948,677,"1,625",58.3385
,新社村,5,224,83,312,6,318,0,318,294,612,51.9608
,磯崎村,7,172,46,225,2,227,0,227,187,414,54.8309
　瑞穗鄉,,211,"3,856","1,998","6,065",82,"6,147",0,"6,147","3,711","9,858",62.3554
,瑞穗村,35,704,440,"1,179",10,"1,189",0,"1,189",650,"1,839",64.6547
,瑞美村,38,709,418,"1,165",11,"1,176",0,"1,176",568,"1,744",67.4312
,瑞良村,17,206,129,352,3,355,0,355,175,530,66.9811
,瑞祥村,28,357,221,606,11,617,0,617,322,939,65.7082
,瑞北村,8,221,99,328,3,331,0,331,235,566,58.4806
,舞鶴村,17,380,168,565,7,572,0,572,349,921,62.1064
,鶴岡村,24,349,109,482,6,488,0,488,360,848,57.5472
,奇美村,3,118,31,152,2,154,0,154,174,328,46.9512
,富源村,17,270,149,436,12,448,0,448,284,732,61.2022
,富民村,14,345,95,454,8,462,0,462,363,825,56.0000
,富興村,10,197,139,346,9,355,0,355,231,586,60.5802
　富里鄉,,228,"3,141","1,740","5,109",71,"5,180",0,"5,180","3,564","8,744",59.2406
,吳江村,16,165,76,257,6,263,0,263,199,462,56.9264
,東里村,38,277,195,510,9,519,0,519,477,996,52.1084
,萬寧村,15,241,83,339,5,344,0,344,282,626,54.9521
,新興村,10,184,97,291,7,298,0,298,277,575,51.8261
,竹田村,20,453,186,659,5,664,0,664,363,"1,027",64.6543
,羅山村,17,150,82,249,5,254,0,254,168,422,60.1896
,石牌村,26,306,202,534,5,539,0,539,321,860,62.6744
,明里村,10,137,67,214,3,217,0,217,127,344,63.0814
,富里村,32,465,306,803,7,810,0,810,492,"1,302",62.2120
,永豐村,7,151,98,256,4,260,0,260,172,432,60.1852
,豐南村,12,238,80,330,3,333,0,333,269,602,55.3156
,富南村,10,160,108,278,3,281,0,281,207,488,57.5820
,學田村,15,214,160,389,9,398,0,398,210,608,65.4605
　秀林鄉,,257,"5,938","2,155","8,350",108,"8,458",0,"8,458","3,673","12,131",69.7222
,和平村,42,616,304,962,9,971,0,971,426,"1,397",69.5061
,崇德村,36,695,172,903,10,913,0,913,420,"1,333",68.4921
,富世村,35,782,349,"1,166",13,"1,179",0,"1,179",565,"1,744",67.6032
,秀林村,30,779,328,"1,137",20,"1,157",0,"1,157",550,"1,707",67.7797
,景美村,39,724,362,"1,125",19,"1,144",0,"1,144",516,"1,660",68.9157
,佳民村,9,529,129,667,8,675,0,675,287,962,70.1663
,水源村,23,607,175,805,10,815,0,815,296,"1,111",73.3573
,銅門村,25,637,156,818,9,827,0,827,343,"1,170",70.6838
,文蘭村,18,569,180,767,10,777,0,777,270,"1,047",74.2120
　萬榮鄉,,93,"2,410",706,"3,209",31,"3,240",1,"3,241","1,791","5,032",64.3879
,西林村,18,534,152,704,4,708,0,708,333,"1,041",68.0115
,見晴村,8,242,73,323,8,331,0,331,187,518,63.8996
,萬榮村,11,392,105,508,3,511,0,511,232,743,68.7752
,明利村,10,300,90,400,1,401,0,401,231,632,63.4494
,馬遠村,24,455,154,633,6,639,0,639,424,"1,063",60.1129
,紅葉村,22,487,132,641,9,650,1,651,384,"1,035",62.8019
　卓溪鄉,,76,"2,291",531,"2,898",33,"2,931",0,"2,931","1,837","4,768",61.4723
,崙山村,8,239,59,306,5,311,0,311,205,516,60.2713
,立山村,16,443,123,582,7,589,0,589,379,968,60.8471
,太平村,14,342,73,429,7,436,0,436,226,662,65.8610
,卓溪村,9,351,95,455,5,460,0,460,266,726,63.3609
,卓清村,13,472,90,575,3,578,0,578,424,"1,002",57.6846
,古風村,16,444,91,551,6,557,0,557,337,894,62.3043
